author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
76;abortion;"I choose life Reagan once said something like this Notice that everyone who is pro choice has been born";3;1;2;Pro-Life
76;abortion;"Actually the government does tell women what they can and can't do with their bodies It's illegal to commit suicide If a person is caught trying to hack themselves to peices they could be placed in a mental institute So the government actually does limit what a woman can do with her body";3;1;2;Pro-Life
76;abortion;"That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault";3;1;2;Pro-Life
1761;abortion;"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then "that" is no longer yours, since it feels outside your own.";3;1;2;Pro-Life
1823;abortion;"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. And maybe instead of Pro-choice vs. Pro-life, they (i don't know who "they" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around.";3;1;2;Pro-Life
319;abortion;"i recently read a story..i wish i could find it, but i cant, so ill give you a summary you are a doctor. Two mothers come in, seperately. Both ask for your choice on an abortion. You feel the weight of a life on your shoulders. it goes on like this, giving the backgrounds of the mothers. Then it poses the statement: should you decide to abort either one, you may have robbed the world the beautiful mind of leonardo da vinci or the cruelty of adolf hitler. i think that every child has a right to live in this world, except in a few extreme circumstances...if it was an unwanted pregnancy, and only if the pregnancy is in the early stages. that is my view";3;1;2;Pro-Life
1855;abortion;"While this debate is made more palatable when said to be based on a disagreement between choice (democracy) or the lack there of (fascism) - I beg those on either side of the line to at least be honest with each other. If one holds firm to a belief stating that life begins at conception, any act which eliminates said life is by definition murderous and therefore wrong. Regardless of the reason of the life's inception, it is a life and no human being has a right to extinguish an innocent. If one does not believe that life begins at conception than they are able to 'choose' whether it is to be allowed (legal) or prohibited (illegal). So the debate should center on when life begins, allow those who believe it to begin post conception to bicker on the morality of abortion. Those of us who believe it to begin at conception are unable to debate, as it is an absolute in our mind and by definition is unable to be changed.";3;1;2;Pro-Life
1855;abortion;"Not to be glib, but are you stating that we should look to the government to assist us with our belief system. Ever read T. Hobbes...?";3;1;2;Pro-Life
78;abortion;"Don't kid yourself: the vast majority of abortions in this country are for reasons of convenience. If I was allowed to kill someone anytime they were inconvenient to me, I would be leaving a trail of bodies behind me when I walked down the street.";3;1;2;Pro-Life
167;abortion;"i don't disagree that people have the right to do what they want with their bodies, hence the reasons i am all for tattoos and piercings and whatever other kinds of body modification. but the choice we are talking about here is not about a woman's body. this is about another life, not a woman's body. we don't have the choice to murder people without consequence. this is no different. people need to accept the consequences of their actions. you have sex and don't use protection, you pay the price. if you truly feel that you are not able to raise and care for a child, there is always the option of adoption. i was adopted. i thank my lucky stars everyday that my mom made the smart choice. just put yourself in that position. just considerer for five minutes that the possibility that you might not be alive. its a scary thought, isn't it? abortion is murder, plain and simple.";3;1;2;Pro-Life
1815;abortion;"It's often funny how we tend to spin facts to make ourselves feel better about the situations we create. In the case of abortion, we tell ourselves that since the baby has not yet fully developed into the recognizable human form, that it's technically not a human being. Therefore, it's not murder to end its existence. Following this line of thought, an apple seed is not technically an edible apple, so destroying a farmer's stock of seed is not immoral, since we are not ridding him of the final product he sells. Yet, it's pretty clear you're robbing him of his livelihood, regardless of how you phrase it. Just because a fetus is not fully formed does not mean it is not a human.";3;1;2;Pro-Life
1880;abortion;"You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.";3;1;2;Pro-Life
76;abortion;"I argue for the rights of the child, who deserves the same right to life as the mother";3;1;2;Pro-Life
405;abortion;"Is personhood absolute or is it predicated upon position? If a premature baby is lying in an incubator or, let's say for the sake of argument, a 5 gallon pail, it is illegal to kill it. Why does the situation change so drastically just because the child is inside the womb?";3;1;2;Pro-Life
439;abortion;""If a women is raped" is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well.";3;1;2;Pro-Life
