author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
502;"climate change";"This argument is not well worded. There is going to be a middle ground. What if you think that it is a threat, but that human behavior doesn't affect it as much as we think? Or, what if you believe it is a threat but not as much as others would? Needs some narrowing to really be a good topic.";4;1;3;"That global warming is not happening, or it isn't a threat, or it isn't influenced by human behavior"
454;"climate change";"In my opinion, global warming is just a huge HOAX! If one person can legitimately answer my question, you will have "convinced me". Question: "How did the Ice Age thousands of years ago end?"";4;1;3;"No, I do not Beleive in Global Warming"
454;"climate change";"Many TRUE SCIENTISTS claim that it is just a hoax. They say that the earth's temperature constantly changes. The Ice Age ended well before man came in and started to pollute the environment. NOTE= Michael Savage was the one I took this question from, please give HIM credit. www.michaelsavage.com";4;1;3;"No, I do not Beleive in Global Warming"
1956;"climate change";"I'm voting on this side not really because I believe it's a huge hoax but instead that it's being inflated and blown out of its true proportions by those who stand to gain politically or financially because of it. On the other hand, the "sceptics" also seem to have rather a lot to gain. I trust neither side. Ultimately, humanity will adapt and find a way to solve our problems. Be it millions of tiny particles launched into the atmosphere or truly renewable super-macro-micro-energo-duxu-electro-microwave-energy, there will be a way to solve it. So I'm not worried";4;1;3;"No, I do not Beleive in Global Warming"
1954;"climate change";"I think when anyone refers to global warming they should tack on theory to the end of it. Their are several reasons why I remain weary about this theory. First of all the amount of data we have to go by is not enough. Not enough to draw any conclusions yet. It is a blink of an eye in the history of this earth and its climate. Some of the data and graphs we do have has even been "adjusted". Everyone knows the great hockey stick graph that has gained much popularity amongst supporters. The big problem with this is they eliminated the medieval warming period. This was accomplished by giving up to 390 times more weight to reconstructed tempuratures. By elimatated this documented piece of history it makes the current slight warming to be nothing out of the ordinary. http://www.telegraph.co.uk/news/main.jhtml?xml=/news/2006/11/05/nosplit/nwarm05.xml The graph on this website that actaully acknowledges the medival warming period makes the current warming trend seem like a nice treat. The next problem I have is that computer models are relied on way to heavily to get the results and predictions that supporters swear by. The funny part is models made in 2002 are already shown to be wrong. If models can not even get a few years ahead right how can we believe so fully in them even 10 or 20 years ahead. How about 100 years? We can't predict what the weather is going to do a day ahead and we definatly can not generate accurate models of climate trends. Especially considering how complex a system it is and how many factors (some we probably do not even know or can not measure) . Another big issue that carbon emissions can not explain is the recent cooling of the oceans since 2003. This also goes against predictions made very recently. So why when carbon emissions are at the highest would the largest mass of water (which absorbs over 80% of the suns rays) start cooling? I am not saying that the 1/10,000 of the atmosphere does not contribute to the tempurature. I'm not saying it does. Think about it logical and in a very large scope, the least this should do is make you call it the global warming theory. Enjoy the warm weather while it lasts...";4;1;3;"No, I do not Beleive in Global Warming"
661;"climate change";"That the global temperature is increasing may be true. But is that a consequence of human behaviour? And if humans do have a part in it, how much is that part? If I piss in a river and there's a flood several kms away, how much is my responsibility? What has been terribly increasing, recently, is the concentration of carbon dioxide. In the past that concentration and the average temperature used to be correlated. CO2 used to vary, in millennias, between something like 200 and 300 ppm. Temperature used to vary between somewere in the -10C° to +2° range. The two values varied more or less at the same time. In recent millennia CO2 has been around 280 ppm and temperature around -0.5C°. In the last fiew decades CO2 skyrocketed to over 400 ppm. If temperature was a consequence of CO2 we would now have average temperatures several degrees above the ones we do have and 1/3 of current land would be below the ocean. In fact temperature is correlated to MANY different causes. CO2 being only one. Is temperature rising? Yes. Are we doing it? Partly yes, but we play a little role in it. Instead of debating how we should reduce CO2 emissions, we should be debating the fact that even if we were to stop any and all emission the temperature would keep rising (it would rise even if we were not here, just it'll do it at a different peace). The problem is not JUST to stop emissions. The problem is we should prepare for a temperature rise. If you think it's hard to convince people they should stop using cars, think how hard it is to convince whole countries/states they should move away before they sink into the ocean. That's what we should be debating.";4;1;3;"No, I do not Beleive in Global Warming"
1851;"climate change";"First, lets clarify that "global warming" is not simply natural climate change, but a climate change that is directly caused by human activity. Given the incredible influence of natural causes of climate change, and our relatively small influence on the entire globe, human caused global warming is suspect from the beginning. So, why do people "believe" in global warming? Two factors fit together: First, it is empowering. Look how much dominion we have over our world. Second, it allows vilification of an easy enemy - corporations. The "science" behind global warming is an odd patch work of data that highlights what the believer wants to hear (the hottest season on record for X location) and ignores the data that runs contrary to the theory (the coldest season on record for Y location). And if a scientist demonstrates significant flaws in the theory, they are conveniently dismissed as "tainted" by corporations.";4;1;3;"No, I do not Beleive in Global Warming"
171;"climate change";"No, I do not believe in global warming to the extent that the media (and Gore) present it to be in this day and age. The earth has been warming for the past 40,000 years, since the last Little Ice Age. The Earth's climate is a non-linear, chaotic system that is impossible to predict. Scientists have yet to prove how much warming is produced by humans, and how much is part of the Earth's natural warming process as it exits an Ice Age. Heres a small hint, the Kyoto Protocol aims to reduce CO2 emissions worldwide in order to combat global warming. Even WITH the USA on board (which it isnt), it would only be able to reduce the rise in temperature by 0.04 degrees Celsius by the year 2100. In other sciences, the percentages of error must be kept extremely low. For the Mars landing, only a minimal percentage (around 2%) was allowed in their calculations, otherwise the lander would blow up on impact. In global warming, scientists' results vary by up to 4000%. Let us go back to the 1970's. Back in the age of Ford there was a catastrophe at hand. Scientific research had shown that the world was slipping into global cooling, and many leading scientific figures were on board. UC Davis' Kenneth Watt back on Earth Day, 1970: "If present trends continue, the world will be about four degrees colder in 1990, but eleven degrees colder by the year 2000. This is about twice what it would take to put us in an ice age.” Similar comments were made by organizations and companies such as International Wildlife, Science Digest, the Christian Science Monitor, and Newsweek. If someone back in the 1970's was to say that the earth would definitely warm in the coming 30 years, it would be considered outrageous. As outrageous as it may be for us to state that global warming is over rated. To quote Mark Twain, "Whenever you find yourself on the side of the majority, it is time to pause and reflect.” Man can not be the sole cause for the 'soaring' climate change we are experiencing (cities around the world find their average temperatures dropping). The sun's effect on the earth is at an all time high for the last millenia. This undoubtedly must have SOME affect on the climate of the earth. I refer you to the UN IPCC's Third Assessment Report from 2001. After numerous portions stating the impossibility of predicting global warming due to man's incapability to monitor his own behavior (ie. population change, economic change, technological development, and other relevant characteristics of future human activity), it moves on to state “The long term prediction of future climate states is not possible. The most we can expect to achieve is the prediction of the probability distribution of the system's future possible states by the generation of ensembles of model solutions. ” The UN IPCC states that long term prediction is not possible (ie. a century or more). Why? Because as I've mentioned so many times before, the earth's climate system is non-linear and chaotic. As such, no level of linear analysis or comparisons could hold to it properly.";4;1;3;"No, I do not Beleive in Global Warming"
1958;"climate change";"The ozone hole in Antarctica increases with colder temperature. See: http://www.abc.net.au/science/news/stories/2006/1754508.htm?enviro It contains this quote from the European Space Agency's atmospheric engineer. "This year's extreme loss of ozone can be explained by the temperatures above Antarctica reaching the LOWEST recorded in the area since 1979." So your statement about the bigger ozone holes is true, but is evidence strongly AGAINST global warming!!";4;1;3;"No, I do not Beleive in Global Warming"
1958;"climate change";"1) So your saying the Ozone hole was not a result of Global warming (i.e. CFCs). So you must disagree with the original post about the Ozone hole being part of global warming. 2)The increase in the size shows cooling over Antarctica, if I remember correctly Antarctica was part of the globe. Hence warming must not be global.";4;1;3;"No, I do not Beleive in Global Warming"
