author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
1053;"climate change";"of course we should. it is scientificly proven that is a threat.";4;0;2;"That global warming is really happening, is a threat to humankind and human behavior has influence o"
485;"climate change";"How could u not believe..its obviously true..the ozone in breaking up with holes..";4;0;2;"Yes, I beleive in Global Warming"
485;"climate change";"how do u know there was ever an ice age??";4;0;2;"Yes, I beleive in Global Warming"
1328;"climate change";"My question for you would be how do you explain the melting of the polar ice caps today. I mean it is cold out side right now, but we are definitely not in an ice age.";4;0;2;"Yes, I beleive in Global Warming"
485;"climate change";"the earth's TEMPERATURE changes, but the CLIMATE is getting hotter and hotter.. If youve ever heard of the ozone, it protects the earth from harmful UV rays from the sun. When there is not ozone, UV rays will enter the earth's atmosphere and make it hotter here. After the nuclear war (WWIII -- It is inevitable) the ozone will be blown to bits and wont exist anymore.. therefore whatever is left of the human race wont be able to walk the earth for another 10 years or so till it rebulds itself..";4;0;2;"Yes, I beleive in Global Warming"
1328;"climate change";"What true scientists say this? And last time I checked Savage was a political pundit (republican puppet) ... not a scientist.";4;0;2;"Yes, I beleive in Global Warming"
1077;"climate change";"Anytime you cite Michael Savage your argument loses all credibility. The man is mentally unstable.";4;0;2;"Yes, I beleive in Global Warming"
1339;"climate change";"thomasa93: This debate is about whether or not global warming is real. It does not ask whether you believe it is caused by human activity. Since you acknowledge that earth temperatures do in fact fluctuate, are you conceding the reality of global warming, though you may not believe it is caused by our actions?";4;0;2;"Yes, I beleive in Global Warming"
689;"climate change";"Yesterday (Feb 2nd) was the first big snowstorm here in Worcester, MA New England... and we are only going to have prolly less than a month of 'real winter' here...";4;0;2;"Yes, I beleive in Global Warming"
755;"climate change";"I believe in global warming. People may not notice it, but right now there are many species of animals that are going extinct. For instance, the polar bears, their behaviors have changed because of this. Many animals in the frozen lands are having strange behaviors because of GW. They are waking up earlier today from hibernation unlike in the past years.";4;0;2;"Yes, I beleive in Global Warming"
755;"climate change";"Yes, it is true that the temperature of the earth have increased since those years. Now ask yourself this question: Was there pollution during those years? Yes we can say that the temperature of the earth is increasing. Today, it is still increasing but abnormally. This is caused by gases that accumulates in the atmosphere and traps the heat which causes global warming. A thousand years ago, the ice melted for about a hundred plus years or so. Now, the polar regions can melt in more or less 25 years.";4;0;2;"Yes, I beleive in Global Warming"
895;"climate change";"Yes, the atmospheric processes are complex and hard to predict, yes there have been fluctuations of temperature before in history. Particulary the medieval warming period, is a very interesting piece that don't fit any end-all easy explanation. The concept known as Global Warming imply that there will be some kind of trouble (the exact numbers are contested, but higher temperatures are a prime concern). It is also included in this theory that it is caused by human activities. The reason I'm concerned, is the fact that we've changed the composition of the atmosphere far outside of the natural parameters. CO2 levels are approaching 33% more than previous recorded high points ever before in physical evidence in the nature. (that's about 400.000 years back). About half of this artificial increase have happened since 1945, and correlates VERY STRONGLY to industrial activity of human civilization. Note, this is the CO2-levels only. This is LARGE SCALE terraforming, and the one thing everybody is agreeing on is that we don't know enough about this to say exactly where we're heading. That is like going way too fast by car, with 10 meters of visibility. Even if we find we're not going were we want, we'll be in deep trouble because we're going too fast. If this were traffic, and not terraforming, this would be considered irresponsible. Considering the measured CO2 levels, and even the weakest positive correlation to temperature, global warming is an undenieable fact. Now add in the recent change in weather (during the time-span of only the last 100 years), estimated past/future CO2 levels, and the accelerating emissions of other 'climate' gases from an ever heavier industrialized world economy, i feel pretty confident that the lowest estimates of climate change is already going to happen, and that medium-to-bad scenario are a distinct possibility.";4;0;2;"Yes, I beleive in Global Warming"
1959;"climate change";"Scientists' models of 'normal' factors of global warming and cooling, such as sun activity, volcanic activity and other natural factors line up almost exactly with the actual temperature record. Now, in the last half century, there is a sudden spike that is unexplained by these natural activities. This spike directly correlates with human-caused factors that some scientists long predicted might cause global warming. After more research, the large majority of scientists have concluded that humans are largely responsible for this most recent spike. The evidence for this has gotten better over the years, especially over the last 2 or 3.";4;0;2;"Yes, I beleive in Global Warming"
478;"climate change";"The Earth does go through phase changes. Remember in the 80's when the scientists said that we are supposed to be in an Ice Age? Well we are supposed to be. We are well overdue for one. Our Earth is heating up and it is blocking the Ice Age. Now if you say well that's good then you are mistaken. When our children's children's children's... children come to the point where the "Ice Age" has stopped the effects of Global Warming will be phenominal.";4;0;2;"Yes, I beleive in Global Warming"
478;"climate change";"Michael Savage is an idiot. He is deeply depressed and I remeber him saying on time "Why should we have a depressed leader. Who wants a depressed leader". Now why would he expect us to follow him then. So he is expecting things that he disagrees with himself. He is a two-face.";4;0;2;"Yes, I beleive in Global Warming"
1957;"climate change";"There is no reason to debate Global Warming. It is a FACT. The cause is however debatable.";4;0;2;"Yes, I beleive in Global Warming"
1952;"climate change";"Can you legitimately say WHY it's a hoax? Have you any evidence to back up your claim that the overwhelming majority of environmental scientists have been fooled?";4;0;2;"Yes, I beleive in Global Warming"
1952;"climate change";"How is it evidence against global warming? You are assuming that the ozone hole is merely the result of temperature, and not other influences (CFCs/HFCs). 1979 was about the beginning of the period when the ozone layer became a serious scientific issue that began garnering public support.";4;0;2;"Yes, I beleive in Global Warming"
1952;"climate change";"1) Of course. He was incorrect to use the ozone hole as evidence FOR global warming, but you are equally incorrect to use it as evidence AGAINST. CFCs are a powerful greenhouse gas - but they are found in so miniscule a scale (in comparison to CO2, CH4) that they don't really have any part in global warming, so apart from some localized side-effects, the ozone layer plays a minor role in the whole scheme of things (unless, of course, you're talking about upper-atmospheric cooling CAUSED by the ozone hole - a different matter entirely) 2) The increased size of the ozone hole causing localized cooling over Antarctica is due to the above phenomenon. During the ozone-oxygen cycle which creates and ozone layer and makes it so crucial to life, UV light is turned into heat via this cycle. The lack of ozone (destroyed by CFC/HFCs) means that this cycle can no longer proceed on the same scale as before, which means less heat being produced.";4;0;2;"Yes, I beleive in Global Warming"
1952;"climate change";"1. If it has ever warmed at this speed before, please, point out the evidence for those less enlightened. 2. Impossible to predict?! How do weather forecasts work? Go look up some of the work of the Hadley Centre - they can't predict ACCURATELY what is going to happen, but they can get a general, big idea, which is what is important. 3. And how is the Kyoto Protocol evidence for/against GW? While I won't dispute it's uselessness and it's pathetic compromises, I don't think it's relevant here. 4. Source? Michael Crichton doesn't count. The variation in the models, by the way, stem as much from OUR possible response (which is by far the most unpredictable variable in this whole debate) as it does from logical workings. 5. Now... you say a lot about global dimming, but I don't think you really understand it. The reason all the fuss about global dimming... dimmed after 1970 is because of the introduction of various Clean Air Acts around the world, which halted the pumping of various sulfur monoxides, dioxides and so on which act as global DIMMERS - they reflect sunlight very well, but can't trap it at all. They are quite short-lived, though, so remove the source of the SO's and you remove the problem. This was, however, associated with a sudden jump in global temperatures as the global dimmers, which were holding back GW, were removed - the 'magic gate' years. That isn't to say they still don't have an effect to some degree - following 9/11 (and the grounding of all planes in the US), scientists noticed a avg. 1C rise in temperature across the country, as the jet contrails (which were acting as dimmers) cleared off due to there being no planes in the sky. (source: 'The Weather Makers') 6. Try giving me what they said in 2006. A lot can change (ESPECIALLY in computers) in 5 years.";4;0;2;"Yes, I beleive in Global Warming"
1952;"climate change";"True. I cannot tell you the exact weather in a hundred years. I CAN tell you though what an AVERAGE DAY might be at a certain time in a hundred years.";4;0;2;"Yes, I beleive in Global Warming"
