author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
613;evolution;"I see your points and they are valid. However, if you read up on your science you will realize that a large amount of science communities believe in a creationist of evolution. They look at the facts of order and possibilities as well. If you wanna call God a Sky Daddy, then I believe I can be just as skeptical about the universe and all of its order coming together from random parts of nothing. Its as if a BMW were formed from car parts just because you threw them together millions of years ago. Sorry folks but that is harder to believe for me than a someone or something orchestrating everything through order and detail.";7;1;3;Creation
613;evolution;"Oops, I meant to say creationist version of evolution. My apologies.";7;1;3;Creation
1212;evolution;"Ah Creation vs Evolution. A debate that is essentially the debate since the release of "The Origin of Species" by Charles Darwin in 1859. Now let's look at each. In evolution, the general theory is that "populations evolve over the course of generations through a process of natural selection." Where as in Creation, the explanation is that someone/some being/some force created life as we know it. While evolutionary theory is a scientific theory (which is based on facts, creationism is more a belief or rather "faith based" as one puts it. At first appearances, it would seem that evolutionary theory has the upper hand since it "evolves" as discoveries are made. Whereas creationism fails because it's a set story and as inconsistencies are discovered, the belief becomes invalidated. But the idea that evolutionary theory "evolves" is essentially saying that the theory can "change" to fit the discoveries made. In essence, evolutionary theory is allowed to "change" its story provided that there is evidence to support a change. Creationism on the other hand, as a belief is based on faith not science. It's a belief that puts the responsibility of creating life into a "Creator" whether that creator is God, Shiva, the Force, or whatever is not the focal point. Oddly enough, Creationism seeks to explain the what I call the "moment" that started it all. Whereas evolutionary theory seeks to explain our past but not necessary the moment in which it all began. After all evolutionary theory states that all life stems from a common ancestor. But where did that common ancestor come from? In current evolutionary experiments, we can see microevolution and a limited degree of macroevolution. We can show how a primal soup of chemicals can form basic amino acids given certain conditions. We can show how single cell organisms can form into multi cell organisms. Yet to this day we can't show how basic amino acids can form a single cell organism. Science can discover and explain a lot of questions. Yet even now there are questions that science can't fully answer. Sure science can tell you that as a species your goal is to procreate and ensure the survival of your genes, but science can't tell you exactly what is your purpose in life.";7;1;3;Creation
1229;evolution;"k, I believe that 'God' created and then tweaked via evolution? we all find out within 100 years anyways....";7;1;3;Creation
1241;evolution;"yes i do. except better than your description.";7;1;3;Creation
1201;evolution;"The scientific rigor you mention is not present in evolutionary theory. Here's one example: In the 1800s, Charles Lyell and others came up with dates for the rock strata. Radiometric dating wasn't invented until the 1900s. When it was invented, the techniques were calibrated to match the dates Lyell came up with. To say that this proves the dates that Lyell came up with is a logical fallacy, and it sure doesn't sound like true scientific rigor to me.";7;1;3;Creation
1201;evolution;"God is abstract. He doesn't often show himself. In general, the idea of a god or gods is pretty hard to think about. Apes are concrete. You can see them. Generally, the whole ape concept is easy to get your hands around. It's funny that the supposedly unsophisticated ancients would all choose to believe in an abstract concept rather than a concrete one. If you asked Adam where he came from, why would he say "God must have created me, I've seen Him around the garden" instead of "I was magically transformed from one of those apes over there"?";7;1;3;Creation
1201;evolution;"One of evolution's major problems is a moral one. Evolution states that creatures change over time. When a creature is more fit than those around it, it takes over. As a result, the best creature rises to the top. It is claimed that all this is in the best interest of the species. If that were true, it would justify a whole bunch of things that most people disagree with. White men kept slaves in the South, and slavery stuck around for some time. And when the slaves were freed, they didn't free themselves - white men from the North did most of the work. Does this mean that white men were more fit than the slaves and that the plantation owners were justified in keeping slaves? There are plenty of other examples. Terrorists (and their American counterparts), the Darfur conflict, feudalism... Evolution implies that the side with the upper hand deserves to win. This post isn't a very scientific argument, I know, but I don't think I could ever accept the "might makes right" mindset.";7;1;3;Creation
1201;evolution;"I stand corrected - there is rigor in evolutionary research. However, not all of it is scientific, and a lot of it is based on exaggerated facts, half-truths, and assumptions. I mentioned the dates in rock strata for two reasons. First of all, my post was a reply to burnman, who claimed the Earth was older than 10,000 years. Second, geology, which I concede isn't the exact same thing as evolutionary theory, is still very important. Evolution requires incredible amounts of time - if the proposed periods of time don't line up with the strata or the fossil records the strata contain, that's a pretty big problem with evolution. I found The Origin of Species on Wikisource and am reading through it. Any interesting passages?";7;1;3;Creation
975;evolution;"Unfortunately, the title of this discussion is wrong. Instead of being Evolution vs. Creationism, it should be: Does God exist? Creationism and evolution are not exclusionary. Creationism implies that a Higher Power, a God, orchestrated the creation of this planet and its inhabitants. Evolution may very well have been one of the tools used to accomplish this. As to whether God exists (however you choose to define God), each person has to decide for themselves. I look at the world around me, the thousands of beautiful plants, animals, etc, and think that their must be a Higher Power behind it all. Mathematically, it seems like it would take much more than a few billion years for a world to evolve by chance to what we experience today. It could take a few billion iterations just for someone to guess my password. It doesn't make sense to me that the earth could evolve to what it has become in its short (few billion years?) history by chance. More than that, my soul tells me there is a God.";7;1;3;Creation
1201;evolution;"The different parts of the embryo don't grow at the same rate. What looks like a tail is really the spine, which develops earlier and starts off longer than the rest of the embryo. The body then "fills it out," so to speak. There are several other features that are often cited as evidence of evolution, such as "gill slits," "yolk sacs," and other bits and pieces that were supposedly left over from evolutionary ancestors. However, many of these comparisons are based on appearance, not function. Just because something looks like a _____ doesn't prove that it used to be a _____. Many frequently cited claims of evolutionary leftovers in the embryo are part of the theory of recapitulation. This theory was widely published in old textbooks and so remains a common misconception, but nowadays even mainstream scientists reject at least most of it, as it was based mostly on guesswork and exaggerated illustrations.";7;1;3;Creation
76;evolution;"* If evolution is true.... How come people aren't still evolving?";7;1;3;Creation
