author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
32;evolution;"Debates are based on convincing evidence. There is very little evidence supporting creation, while there are massive amounts supporting an evolutionary argument. Creationism is supported by numerous ancient stories, some similar to each other, some wildly different from each other. But none of these stories are corroborated by any actual evidence. Since these are very ancient stories, they were first told by ancient peoples, with far a less sophisticated understanding of the natural and scientific world. Evolution is not a story. It is a scientific theory, posited to explain the development of life on Earth. The theory itself is evolving as new evidence arises. Certain parts of the theory are perhaps discarded, and new parts are added. This is how science works (ideally). We progress towards scientific truth by a series of incremental advances, sometimes punctuated by a huge advance. The theory of evolution is one such huge advance. And now, it is experiencing its own incremental advances.";7;0;2;Evolution
74;evolution;"Science! we win";7;0;2;Evolution
448;evolution;"This is a non-argument. The earth is not 10,000 years old and dinosaur bones were not put here to 'test our faith'. Religion has been putting forth explanations as to the origins of the universe since humans have even begun to think about it. We dont need those old myths anymore about dead gods and fairies, humanity has come up with a quantifiable way of testing our hypotheses. Now, i will not sit on my ivory chair and say that science gives absolute facts, (i dare you creationists do the same) it is a process by which we can evaluate data and come up with a better understanding from that process. Nothing is ever fact, but we can come up with a good idea of what information to trust because of scientific rigor. Thank you and goodnight.";7;0;2;Evolution
21;evolution;"Oh come on, are you kidding me? Are ou trying to tell me that a magical man who lives in the sky and is invisible except for people that have died can see him in the magic white puffy village called Heaven? I hardly believe this, especially since if creation is how we were made, how was "God" made? Obviously evolution makes more sense. Besides, if Adam and Eve were the first people on Earth, who were their parents? Were they brother and sister? Doesn't the Bible say something about how having sex with your sibling is wrong? Do I smell contradiction? I think I do...";7;0;2;Evolution
510;evolution;"The problem with supporting any religiously founded theory against science is: which religion do you believe? Chiristianity teaches one thing, hinduism teaches another, odinism teaches another and the peoples of various african tribes believe differently to each other. Why is any one view on how man was created more valid than any other? That's right, it isn't. Evolution is a plausible theory, supported by boundless evidence that seems to have very few chinks. I know faith is not meant to be based on evidence, but I can't see why in the face of such a huge amount of evidence to the contrary faith is still used as a solve-all to a non-existant problem. We're pretty sure where men came from now, so there's no need to invoke the Sky Daddy, the ever shrinking 'God of the Gaps' in this instance.";7;0;2;Evolution
1221;evolution;"It is important to understand that evolution is both a fact AND a theory. The current theory, based on Darwin's research, describes the facts of evolution, as based on verifiable evidence. If another theory comes along to better explain the mechanism(s) of evolution, it wouldn't nullify the fact that evolution occurs, things will continue to evolve. A great parrallel is Einstein's theory of gravity replacing Newton's - gravity didn't cease to function or behave differently when the theory was updated based on our improved understanding - that's what is great about science. It is open to skepticism, looks to be challenged and replicated and verified - but all the while basing everything on evidence. That is one thing creationism lacks. And to believe in something for which there is no evidence or proof is just intellectual dishonesty.";7;0;2;Evolution
1221;evolution;"I would be interested to see you cite your references for your comment that "a large amount of science communities believe in a creationist version of evolution." I would wager that not a single evoutionary biologist believes that. It's important to understand that evolution is NOT an explanation for the creation of the universe. That is still a great mystery, but we're making progress everyday via science in our understanding of the origins of the universe. Just because science can't explaing something now, doesn't mean a supernatural being can. There have been many things over the centuries that were once unknown or misunderstood that science eventually was able to explain (the source of lightning, gravity, what the sun is made of etc.) And just because you need to lean on a supernatural explanation for something because science has yet to explain it or it's hard for you to believe, doesn't make that supernatural explanation true. Provide evidence to support that belief, and I'll change my stance :)";7;0;2;Evolution
812;evolution;"Define "order and detail." Existence isn't a BMW. You are falling for the old 'watch maker' argument. You fail to recognize the significance of self replicating systems within a naturally selecting environment. A good read: "The Selfish Gene" by Richard Dawkins. Not as aggressive as his more recent "The God Dilusion," and equally well written.";7;0;2;Evolution
1203;evolution;"Your main point is irrelevant. If creationism just explains the "moment that started it all," then it is compatible with evolutionary theory. This is because evolutionary theory is a theory concerning the origins of complex organisms that we find today. It is not a theory about the origins of life in general, and it is certainly not a theory about the origins of simple microorganisms. (It is also not a theory about the origins of the universe.) Evolutionary theory is perfectly compatible with the claim that some divine creator "touched" some primordial bog and out sprang a batch of microorganisms. Evolutionary theory is only committed to saying that life as we know it today is the result of these simpler organisms being subject to mutation and selection pressure. I don't see any urgent need to address your claim that "evolutionary theory" is problematic because it gets to change its story whenever it runs into trouble, because it isn't clear to me that you understand what evolutionary theory is. But I will say something about it briefly. "Evolutionary theory" is a general theory about how life as we know it came about, and there is no real evidence against it. You should think of evolutionary theory as being analogous to the scientific view that matter is made up of smaller things (e.g., atoms). Lots of theories about atoms have been proposed, and most have been false. But this doesn't refute the general theory that matter is made up of smaller things. Similarly for evolutionary theory. My guess is that you are confusing some particular theory about the origins of some particular organism (or part of an organism) with evolutionary theory, but that is a mistake.";7;0;2;Evolution
1221;evolution;"It's interesting that you mention Charles Lyell when arguing for the case of creationism, as he was a close personal friend of Darwin and was one of the first prominent scientists to support Darwin's book "The Origin of Species" (TOoS) - although he never fully accepted the idea of natural selection. Lyell even offered an endorsement of TOoS in one of his own books. As for the suggestion that there is no scientific rigor in evolutionary theory - have you read TOoS? Are you aware that scientists and others have been trying (rigorously?) to refutre or rebuff Darwin's theory for the past 150+ years and have yet to be able to do it? And P.S. - dating rock strata is not evolutionary theory, or even related. That would be the field of geology - evolutionary theory was/is the cornerstone of the field of biology as we know it today.";7;0;2;Evolution
