author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
16;"gay marriage";"for the record - I am not gay. I'm married and have a little daughter.";8;1;3;"Allowing gay marriage is Wrong"
462;"gay marriage";"I voted wrong because there wasn't a "who gives a crap" chose. It effects me in no way. And for those people afraid of explaining why Joe kisses Mike, that's your problem and not Joe's nor Mike's.";8;1;3;"Allowing gay marriage is Wrong"
408;"gay marriage";"First, religion is a red herring. Yes, it is the motive behind a lot of the opposition, but doesn't really add anything to the analysis of the arguments. The best solution is to allow civil unions for everyone (not just gay people). Maintain marriage as the subset of civil unions which consist of a man and a woman. Then slowly export law that is relevant to both marriage specifically and civil unions in general from the body of marriage law into the body of civil union law. If marriage law is eventually completely subsumed by civil union law, fine. If some elements of marriage law survive as distinct because the state has a legitimate interest in recognizing man/woman relationships, fine. The worst thing to do is to instantly undermine the assumptions of law that has developed over hundreds of years and which has only ever contemplated man/woman relationships and their effects on society (especially with respect to child birth and its consequences).";8;1;3;"Allowing gay marriage is Wrong"
927;"gay marriage";"From a religious standpoint gay marriage isn't even possible. Let along right. But everyone isn't religious or adheres to specific religious guidance. Marriage is defined as between a woman and a man. So the word "marriage" may be misused in this case. Civil unions, well that's a different matter.";8;1;3;"Allowing gay marriage is Wrong"
924;"gay marriage";"I'll be for it when gays/lesbians, when entering the marriage are obligated to choose which of them is viewed as the male and which is the female in the eyes of the law. In the real world men and women are treated differently in the eyes of the law when it comes to divorce, dividing assets, alimony, child support, etc. As it is the gay community wants all the benefits without having to risk the drawbacks of marriage. Agree to one choosing the male role and one the female role in the event of a divorce, and you have my FOR vote. As-is, AGAINST.";8;1;3;"Allowing gay marriage is Wrong"
975;"gay marriage";"All laws are derived from your moral beliefs. Stealing for example, is against the law because most people believe that there is a right and wrong and that stealing is wrong. I cannot agree with Gay marriage because I believe in right and wrong, and that homosexuality is wrong. Gay marriage will become legal when either more people in an area believe it is morally right, or when proponents deceive enough of the population that laws are not about right and wrong.";8;1;3;"Allowing gay marriage is Wrong"
76;"gay marriage";"Sarcasm is never a good argument in the place of justifiable facts A terrible fact- Gay marriage is helping spread the AIDs virus";8;1;3;"Allowing gay marriage is Wrong"
150;"gay marriage";"Ok... I dont have any thing against gay people... Im st8 my self but I think that if they want to live togeather , makeout , even try to make little babys ( they cant even when they try ) Its there right.. However I do think its wrong for them to be allowed to get married.. The bible states it as one man and one woman... if he wants men to be togeather it would have been adam an evan instead of adam an eve..... And personly I just dont aggree with it. I would fight to i droped dead if my state allowed it.. ( va dosnt and isnt considering it thank gosh) But I and many others wont go for it. Its not that but they shoundt be able to do it... 50 years ago you didnt even hardley know there was even gay people at all.. now there ever where.";8;1;3;"Allowing gay marriage is Wrong"
16;"gay marriage";"okay - that's just not helpful...they need to add a way to demote an argument as "blatent expression of opinion" - mind you that I am FOR gay marriage.";8;1;3;"Allowing gay marriage is Wrong"
76;"gay marriage";"That's true I did not have any evidence to back up my argument";8;1;3;"Allowing gay marriage is Wrong"
