author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
797;"gun control";"I guess it all comes back to revolutions. Revolutions are possible without guns, But stoping a Military Coup without guns is next to impossible. Guns are like a seatbelt, you dont have one because you plan on having an accident, you have one incase of an accident. Guns are incase govt gets out of control.";9;0;3;"Citizens should have the right to own guns"
1389;"gun control";"Let me start off by saying that I don't believe all citizens should have guns. Obviously, there are those individuals who are dangerous (criminals) and thus should be denied access. However, that doesn't mean that all people should not be allow to have firearms. I also don't believe that just because the Constitution says we should have guns, we should. The Constitution is a changing document, and all policies are not written in stone. So why should guns be allowed? The answer is two fold:Recreation and Protection. Hunting is still an enormously popular sport, and people should have the ability to defend themselves if the need arises.";9;0;3;"Citizens should have the right to own guns"
1580;"gun control";"To make use of the cliche: Make guns illegal, and only criminals will have guns. The harder it is to obtain a gun, the more common that untraceable, illegally obtained guns will be. There is no way to avoid that particular eventuality. I would love to see a heavily enforced registration system, where a gun could be easily obtained, but could be identified and traced back to the registered owner. Add a little responsibility to gun ownership, in a way. I know there are some privacy concerns with a giant police Rolodex of gun owners, but privacy invasion is a different subject entirely. Guns are a legitimate form of recreation and protection. I once heard it described to me in a way that made wonderful sense, every kid learns stop drop and roll, but no one has seriously considered teaching gun safety in school. What is more likely: a child catching fire spontaneously in a situation where rolling around is an option, or encountering a poorly hidden gun as a child? Many deaths can be saved by education, not just gun control law.";9;0;3;"Citizens should have the right to own guns"
1580;"gun control";""America, as a result has a murder rate 10 times that of most civilized countries." Sort of a total lie, right there. The international weighted murder rate is about .1 per thousand, with that source listing our murder rate at .0428 per thousand. This puts us at #24 on the list of 62. We do have murder rates ten times that of only two nations- Saudi Arabia and Qatar. I sort of attribute that to their stricter penal code, though. Interestingly, civilized nations like the United Kingdom, Finland, Denmark, and New Zealand outpace us in crime. I am not saying that guns stop crime, but if I can't say that, then you can't claim that guns cause murder.";9;0;3;"Citizens should have the right to own guns"
1580;"gun control";"Well, you do have a very low murder rate on an international scale, but you seem to hit a respectable third most rapes per capita. That's nothing though. This source says that Australia ranks as #1 in both burglaries and car thefts per capita (take that, Dominica!). Once again, these stats may not have a direct correlation to gun ownership, but if anything they argue in favor of responsible gun owners, not against them. (http://www.nationmaster.com)";9;0;3;"Citizens should have the right to own guns"
375;"gun control";"The time between shots is irrelevant. The contitutinal amendment was written right out of a revolution. Having guns tells the government that they cannot trample on your rights without fear of reprisal. It tells criminals the same thing.";9;0;3;"Citizens should have the right to own guns"
921;"gun control";"It is necessary in order to keep our crooked politicians straight. How dare will a tyrant plunder citizens if those citizens are armed? Plus, statistics shows that law abiding citizens do not run around with their guns shooting at people. States that have many restrictions on guns do not show that the crime in their jurisdiction declined, in fact they have increased. If you were a criminal, wouldn't you be glad that citizens are unarmed? If some criminal abuses his right, it is not logical to prohibit millions of law abiding citizens from carrying a weapon just because of the few screwed up incompetent criminals.";9;0;3;"Citizens should have the right to own guns"
384;"gun control";"Actually, in America one can never underestimate the power of drunken hillbillies. If the government tried to impose a dictatorship upon us, they would not be able to defeat the vast number of moon shining hillbillies in states like texas (mostly because these democracy-loving hillbillies comprise the military). For example, my neighbor across the street packs an M-16, and he makes our street the safest in town. The main purpose for civilians owning guns, however, is not to overthrow a coup, but in self defense. Were the government to issue complete gun control, this would not stop criminals (who mostly get their guns off the street) and would only limit the flow of firearms to patriotic, law-abiding citizens, therefore making it that much harder to defend themselves.";9;0;3;"Citizens should have the right to own guns"
384;"gun control";"However, for every phsychopath with such malicious intent there are a dozen patriotic, lifesaving rednecks packing M-16's to defend those people in the street.";9;0;3;"Citizens should have the right to own guns"
899;"gun control";"unfortuately the world works this way, A person with a gun has the advantage (which could be good or bad) but if a person is defending his home, a knife-fight is up in the air anyone could win.";9;0;3;"Citizens should have the right to own guns"
