author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
1711;"gun control";"If you don't have a gun, you won't have an accident with one. The idea that I need a gun to prevent a military coup is laughable, to take this seriously, you would have to enable civilians to be armed with top grade military weaponry, tanks etc. It's a crazy argument that barely warrants a rebuttal.";9;1;2;"Citizens should not have the right to own guns"
292;"gun control";"Whilst I agree with having and keeping constitutional rights, you guys have to remember that "The right to bear arms" was written back when it took like 2 minutes between shots...... Nowadays, we've found quicker and louder ways to kill each other, so I think a change needs to be made. I mean I'm from Australia, we don't have the right to own a firearm and we're going strong.";9;1;2;"Citizens should not have the right to own guns"
1098;"gun control";"Most of the civilized world does not allow such possession and use of weapons designed to end anothers life. America, as a result has a murder rate 10 times that of most civilized countries.";9;1;2;"Citizens should not have the right to own guns"
1328;"gun control";"The second amendment of the United States Constitution says, "A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed." Pro-gun people love to talk about the second amendment, but do any of them read it? Is the average gun owner a member of a "well regulated militia."";9;1;2;"Citizens should not have the right to own guns"
1711;"gun control";"No. Being able to buy guns, normalizes the act of carrying a potentially murderous weapon. It degrades civilisation, and brutalises those that carry them. When I see someone with a gun, I think 'What an idiot', not 'I presume that high velocity semi-automatic machine gun is used purely to protect the carrier from government civil servants'.";9;1;2;"Citizens should not have the right to own guns"
194;"gun control";"I think we shouldn't have guns i mean it's surprising that they sell guns in Walmart ok let's say a crazy physco bought a gun at Walmart and start spraying all the bullets on people on the street?????? we could avoid that the fact that any one over 18 could buy a gun freaks me out all you have to do is go through gun training and then you could do what ever you want with it";9;1;2;"Citizens should not have the right to own guns"
194;"gun control";"Yes Fisherboy and you could be able to tell if he's a criminal or not? and why would we need guns if no one has guns to attack you? a crimeinal won't run in your house with a baseball bat and rob you're money?if we ban guns we achieve 2 things criminals not armed and citizens don't have to worry osana binladin's men will shoot them and maybe even lowering crime rate";9;1;2;"Citizens should not have the right to own guns"
194;"gun control";"yes there are heros really brave heros but these phsyco path they run down a street with a mac10 mowing down people with it yes of course he will die at the end but we do not fear the physopath that died we fear the innocent children or old men/wowen and trust me i've heard storiesabout phycopath killing people in high schools and university these are children's lives we're talking about we can't all lay it on the rednecks evern if rednecks were there people will still be hurt and that's the whole point if we take away this privillage we won't need guns and phycopaths can't have guns problem solved (well unless phycopath takes baseball bats and wack people with it?)";9;1;2;"Citizens should not have the right to own guns"
194;"gun control";"I'm sorry but you are right they can track down owners but however there are still some incidents of a student brought a gun to school and killed many people they were all phyco's at the end of it they just kill themself before police could get therer riddar we're talking about children's lives hree we can't risk their lives? why not ban it i'm sure it can lower deaths and crime rates i mean unless crimnals will whack people with a baseball bat";9;1;2;"Citizens should not have the right to own guns"
83;"gun control";"It doesn't automatically stand to reason that countries with tight gun controls are oppressive- Britain, France, Germany, Spain, Italy, Australia... none of these countries are as relaxed about guns as the US is, and none of them have particularly bad problems with guns and none of them are dictatorships. A heavily armed populace gives rise to all sorts of risks. The school-shootings, whilst relatively rare, do highlight a consistent failure on the part of successive US governments to address how easy it is for anyone to get hold of a gun and also highlights a failure to instruct people on the proper care and security of their weapons. I once had a discussion with a gun-owner who said that if someone broke into his house in the dead of night, he would feel much better equipped to defend himself as he had a gun, and would quite readily put a bullet into the intruder. I then pointed out that it could be his son coming home late from a night out, perhaps drunk, making a bit of noise, and that he ran the risk of shooting his child- because after all, you have to react quickly when faced with an intruder. He didn't have a response to that. I would not necessarily argue for a complete ban on firearms in a country where firearms have been part of the culture for as long as that country has existed, but tighter controls will lead to less school-shootings and better education will lead to people being more aware of the dangerous weapon they have in their home. I think far too many gun owners grow complacent about their ability to defend themselves, simply because they have a gun in their home, when after all, in a country where ownership of a gun is easy to achieve, the criminals usually have a bigger, better gun.";9;1;2;"Citizens should not have the right to own guns"
