author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
79;immigration;"Amnesty for illegal is BS. it's unfair for those who came here through proper channels. I agree that they have become a vital part of the US economy. But promoting amnesty only promotes the illegal activities of coming into the country illegally. I spoke with someone whose family was a paper family. He was torn on the issue. I respect this person, his family, and all their contribution to this country. but you still can't right a wrong at the end.";16;1;0;"Illegal inmigrants shouldn´t be given rights citizenship after all."
518;immigration;"Let's say I break into your house. Let's say that when you discover me in your house, you insist that I leave. But I say, "I've made all the beds and washed the dishes and did the laundry and swept the floors. I've done all the things you don't like to do. I'm hard-working and honest (except for when I broke into your house). According to the protesters: · You are Required to let me stay in your house · You are Required to add me to your family's insurance plan · You are Required to Educate my kids · You are Required to Provide other benefits to me and to my family (my husband will do all of your yard work because he is also hard-working and honest, except for that breaking in part). If you try to call the police or force me out, I will call my friends who will picket your house carrying signs that proclaim my RIGHT to be there. It's only fair, after all, because you have a nicer house than I do, and I'm just trying to better myself. I'm a hard-working and honest, person, except for well, you know, I did break into your house. And what a deal it is for me! I live in your house, contributing only a fraction of the cost of my keep, and there is nothing you can do about it without being accused of cold, uncaring, selfish, prejudiced, and bigoted behavior. Oh yeah, I DEMAND that you to learn MY LANGUAGE!!! so you can communicate with me.";16;1;0;"Illegal inmigrants shouldn´t be given rights citizenship after all."
1553;immigration;"Hey if people want to come here to the USA to get a better life. then God bless them but do it the right way. no amnesty.";16;1;0;"Illegal inmigrants shouldn´t be given rights citizenship after all."
375;immigration;"By making these people citizens we are rewarding the deceptive behavior that has gone on before. If I murder someone, but then do all sorts of great things for 10 years, and the murder comes up, should I be granted immunity for my crime because it happened so long ago? Why would it be different if I broke into the country and refused to pay taxes for years? There is no statute of limitation on these things.";16;1;0;"Illegal inmigrants shouldn´t be given rights citizenship after all."
2269;immigration;"This issue has nothing to do with racism, and everything to do with following the law. Proponents of Amnesty would have us throw out the immigration laws this country was founded upon, so that people who didn't bother to follow them wont be punished. I'm sorry, that doesn't work for me, and it shouldn't work for you, either. I don't care whether the overwhelming bulk of these people are "law abiding (although they broke the law by entering the country illegally)," tax paying, family people- unfortunately that's not the issue here. The issue is they chose not to follow the laws regulating the inflow of immigrants into this nation. They ignored the sovereignty of the United States to declare under what circumstances a person can enter this great nation, and they demand the Government look past their crimes, and grant them citizenship. That's not the way it works! Why is it, I ask you, that we should bend the rules for this select group of people? Why is it that we should throw out the laws, because they are decent hardworking folk, who pay taxes, and contribute socially? This insinuates that no other group of immigrants to come to this country were as great as the ones now here, "living in the shadows." Why should the rules be bent for this group, and not, say for the displaced Jews of WWII? These immigrants had to flee execution in their homeland, and endure the tough (but fair) immigration procedures once they arrived here. They paid the fees, they waited in line, they took the test, and now we should spit in their faces and declare the 20 million illegals citizens because it would be 'cruel' to send them back? There are a few select things that make a country a country, two of which are border and language. Are the Mexicans racists for not offering their government services in English? Are the Canadians racists for enforcing their borders and deporting illegal immigrants from their country? Somehow the answer to both of these questions is no, but we here in the US are racists for doing these same things. Oh, and just one final note... The US didn't steal the land we call California, Arizona, New Mexico, Wyoming, Colorado, Nevada and Utah from Mexico. After winning the Mexican-American war, the United States deferring it's right to take the land in question, instead paid $15,000,000 dollars for the area, and benevolently forgave $3,250,000 in debts owed by the Mexicans to the US. BTW, in today's money, that would be roughly $313,000,000 and $68,000,000 respectively.";16;1;0;"Illegal inmigrants shouldn´t be given rights citizenship after all."
1851;immigration;"As part of securing a border, a fence is a practical tool along with border patrol and other security measures.";16;0;0;"A fence should be built on the US/Mexico border"
1851;immigration;"Perhaps you are thinking of a different country, or a different route of entry into the United States. There are many who travel by foot or vehicle over the southern border of the United States - and a fence would be a significant deterrent.";16;0;0;"A fence should be built on the US/Mexico border"
1580;immigration;"WE did not rob any Native Americans. Some of our ancestors did. I am descended from a more recently immigrated family, personally, but that is certainly off topic. Now, the authority that prevents you from crossing a border is national legal authority. The people of the country as a collective have authorized the elected government to create a nation, and limit people coming in. You seem to be an advocate of the natural rights of man, to which some imagined border is absurd, however, keep in mind that the natural state of man is to kill before being killed and to live under no set of law of values. In addition to authorizing a government to limit these natural freedoms (freedom to kill), we have authorized them to limit freedom of movement (whether it be preventing an invasion of armed foreigners or illegal entrants to the country). Natural rights, as you call them, no longer exist in our society, we have cast them off in the name of safety and progress. This is NOT to say that stopping immigration is a safety concern! But it is among the other natural freedoms that government controls. And Americans do have the right to not like immigrants, if that is their choice. Our country offers very beneficial, very expensive services to our citizens, everything from roads to healthcare (which is nearly nationalized... people can not be denied emergency room care, so in places like the corruption riddled Medicaid system of NY, there are plenty that use emergency room visits for standard illness while the state foots the bill). To come in without gaining legal access, and to still take advantage of these services can rightfully be considered abuse of the taxpayer. While this does not compel me to be fully against immigration, I understand the argument. ---------------------------------------------------------- Back on topic, I consider a wall a reasonable idea. It is a more efficient way of stopping illegal immigration than manpower alone. It at least serves as a minor deterrent, better than the current NOTHING. If we are going to restrict immigration (this debate is NOT on whether immigration is good or bad), then some sort of barrier seems like the obvious starting point.";16;0;0;"A fence should be built on the US/Mexico border"
1812;immigration;"Based on the anecdotal assumption that illegal immigrants are the ones 'stealing' America's low-paying jobs: Who's gonna build it? That's the question.";16;0;0;"A fence should be built on the US/Mexico border"
2531;immigration;"A fence would be an added deterent in the battle to stem illegal immigration into the United States. A slow down has already been seen in the areas along the border which now have the new, strenghtened fencing. Any fence, of course, would have to go hand-in-hand with enforcement, i.e. Border Patrol Agents, Border Inspectors, etc. The argument from some, who equate a fence along the U.S. border, as some type of, "Berlin Wall," is completely mis-guided, as well as mis-informed. As I recall, the fence would be keeping people out, not in, and be in place to protect our country and our economy. This is just more hyperbole from those on the other side of the argument. This fence will not only deter illegal migrants from entering, but potential terrorists and their possible weapons they bring, i.e. nuclear material, bateriolgical, etc. Until the Mexican Government gets serious about its own economy and stops tryin to use the U.S. as a release valve for its unemplyed and as a vacuum for U.S. dollars back into its economy, the fence and increased border enforcement is the only viable method. R.N.";16;0;0;"A fence should be built on the US/Mexico border"
1580;immigration;"It was never meant to be anything more than a deterrent. I know it won't stop nearly all, but at least it makes it a little more difficult, cuts of at least ONE easy route. Will it solve the problem? No, but it will slow it slightly, and there is little reason NOT to do it. Cost is negligible compared to the extremely high manpower costs of covering an empty field of hundreds or thousands of miles, day and night.";16;0;0;"A fence should be built on the US/Mexico border"
2529;immigration;"Walls are effective, that is why people build them. The wall in Israel has worked very well. We have a small wall in place already on the border with Mexico, and it has been effective. The argument that walls won't stop everyone, is a silly one. Prison walls, or locks on you're house don't stop everyone, does than in turn mean that they should not be used at all? It is obvious that our national sovereignty is not respected, over 50% of Mexicans, feel the border is illegitimate, and the SW rightly belongs to them. Is it wise to allow people to cross our borders illegally from a country where a majority of its citizens don't respect our sovereignty?";16;0;0;"A fence should be built on the US/Mexico border"
2529;immigration;""Am i an alien to those lands?" Are you saying that because someone’s ancestors lived in a particular area, they are free to move about where they please? I'm not aware of any nations that allow anyone to go where they please. Can a Guatemalan just cross the border into Mexico? Under the defense, "my ancestors have been here for 40,000 years" I don't think so, Mexico guards its southern border very tightly. Look at ANY border in Latin America, can people just go wherever they please? I don't think so.";16;0;0;"A fence should be built on the US/Mexico border"
2355;immigration;"kill them i hate them get them out";16;0;0;"A fence should be built on the US/Mexico border"
101;immigration;"If it keeps them all inside it and out of other countries. Oh sorry, imagration not invasion. My mistake.";16;1;0;"Building a wall around America is a superb idea"
171;immigration;"Xenophobia: Good for 'Mericuh.";16;1;0;"Building a wall around America is a superb idea"
