author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
2054;immigration;"Inmigrants should be given rights but only after they have given saomething back to the place they have been living at, for example, military service, charity services, law enforcement, enforcing education and cultural growth. Anything that can be recognized as a real contributioin. Of course any person that doesn´t actually give anything cannot demand anything back.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
1077;immigration;"Absolutely. If they contributed a tangible service to society then they deserve some sort of reward for doing so. Even if they immigrated to the US illegally, it's not their fault the US naturalization process is so long and difficult.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
1068;immigration;"They are already a vital part of our economy, and in many cases have all their roots in this country. If people want to limit or prevent new immigration (legal or illegal), there may be valid reasons to do so, but turning a blind eye to people for years and then suddenly kicking them out of the country is inhumane.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
2054;immigration;"And as for illegal inmigration I think that the key to stop it is assist the home countries of the inmigrants so that they don´t search for a way of subsistence in other places. But I don´t mean give money away, that only generates corruption and inefficient governments, I mean help them to find alternatives for developing their economies, specially if they´re rural economies, that way you don´t help only one inmigrant, you help an entirer nation.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
2054;immigration;"I actually believe that it´s unfair not playing by the rules, but what if you could make some arrangements for people that give a lot to your community, not only to your economy, wouldn´t you endorse that? For example, look at European soccer teams, the finest ones offer assistance to their players so that they can be a part of their corresponding countries, like Rafael Marquez in Barcelona. Of course, on the other side, if they don´t give anything to their "team", how could they expect to get anything back. Again to sports, what if you could get the best baseball player in the world, but couldn´t get him just because he´s cuban? and besides, most countries are formed of inmigrants. America was "founded" by pilgrims that took over native americans´ lands. If they were rejected back then, we might be living in some sort of medieval age right now.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
1299;immigration;"I don't believe in Amnesty, per se, but a defined path to citizenship for people that live in America? Of course! Without immigrants, America wouldn't exist. The glory of America is its melting pot! And if your problem is just that the ones now tend to be illegal, as opposed to the past, you're forgetting that an awful lot of people at Ellis Island weren't legal, either. (The derogatory term for Italian Americans, "wop" stands for With Out Papers, because they were coming here illegally.) But whether or not you agree with the idea of immigration, you've got to admit that these people are here, now. It's not only inhumane to kick them out, it's impractical. They're already living in the shadows. What are you going to do, make a mandatory citizenship card and check everyone? These people are here, and changing our economy (if they're not registered, they don't have to be paid minimum wage...). These people are here, and they're being abused. The solution for both problems is making them citizens. Should they just be given citizenship rights with a snap of the fingers? No, of course not. American citizenship should be earned. They should be enrolled in the same programs that legal immigrants are in, to learn about the constitution, our history, etc. (come to think about it, this should be mandatory for all voters, not just immigrants.)";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
2270;immigration;"First of all it's BS to refer to human beings as "illegal." Even if you think someone broke the law, why can't you say they illegally immigrated, not that they are an illegal immigrant. The action is what is illegal, not the person. Secondly, comparing all documented immigrants against all undocumented immigrants is not a fair comparison. Take a look at the immigration laws in the U.S. The system is and always has been slanted favorable toward Eastern Europeans. The caps placed make it near impossible for someone from Latin America to immigrate legally without a 15+ year waiting period. The quotas that are set and who are allowed to take them are ridiculous. Third, why do you make the assumption that just because something is illegal it is wrong? What authority do we have to draw an invisible line arbitrarily in the sand and say that those on this side of the line are entitled to human rights and those on the other side are not. They are not equal to us because they were born on the other side of an invisible line. It's nuts.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
2270;immigration;"That is an absurd metaphor. By this logic every full-born citizen was born in your house and somehow you don't have to take care of all of them. Every citizen who stayed past their limit on a visa broke into your house, but you took care of them and then eventually you told them they could stay. It is really ignorant to widdle this down to an individual basis. Despite your ridiculous metaphor, this country is NOT private property and if you want to liken it to a house, it is a house with 300 million people living in it already. Those protesters you are talking about already live in the house. The police you are calling live in the house too.";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
334;immigration;"first of all, not every immigrant has the money to do the legal process to get amnesty or anything of that matter next time you hear about a child who had came here illegally to have an education or so their family won't live in poverty, spit in their face and tell them they are worthless because they didn't come here legally and now all they deserve is to go back home in poverty just because they didn't come here the right way";16;0;1;"Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"
828;immigration;"I personally feel that building a border fence is a waste of tax payer's money. The border is a long stretch of land and even with a fence people will still find ways in if they really want to. The main problem here is cost and not just in the initial fence but in the man power required to watch over it for an indefinite period of time. The better solution would be to truly come up with a plan for immigration and how to treat it rather than just masking the problem with a fence.";16;1;1;"A fence should not be built, other solutions are available."
79;immigration;"i voted for the other side. but after careful consideration, I dont think a fence would do it. I think a stretch of hidden landmines should be installed. Fences require maintenance costing additional tax dollars. Landmines probably doesnt last very long either but you wouldnt know exactly how long until you step on one (tick tick), would you? And I think most people in their right mind would not want to risk being blown up to cross the border. So it should keep the numbers low. C'mon a few fatalities is to be expected. Lighten up. If you get blow up. All your problems goes away. And knowing is half the battle. GI JOE.....";16;1;1;"A fence should not be built, other solutions are available."
375;immigration;"Most immigrants don't get in through a "border run" but are transported in hidden in trucks, ships, and planes. So the fence wouldn't help much.";16;1;1;"A fence should not be built, other solutions are available."
2139;immigration;"Building a fence would violate our natural rights. What kind of authority is there that doesn't allow me to cross a border? Am i an alien to those lands? That's like not letting a chicken get to it's feeding lot, yet we still have to control our economy and infrastructure one way. Yeah it's fine to say from our American houses to these inmigrants to F off since we were here in the first place. Yet did we not take the lands from Native Americans?";16;1;1;"A fence should not be built, other solutions are available."
775;immigration;"We have guns for a reason";16;1;1;"A fence should not be built, other solutions are available."
375;immigration;"This is true, but many also hide in the back of truck (or the bottom of trucks) otherwise legally entering. Or they could boat over like that cuban kid. The fence might help a bit, but it could make guards too lax.";16;1;1;"A fence should not be built, other solutions are available."
1388;immigration;"The first time i heard of this idea, i thought it was a joke. A big fence might keep the ones that walk in the desert out, but the ones that hide in or under cars can still get through.";16;1;1;"A fence should not be built, other solutions are available."
1783;immigration;""I am descended from a more recently immigrated family, personally, but that is certainly off topic. " oh? nice that we made it in before the wall, then!! whew! now let's hurry back 'on topic'!";16;1;1;"A fence should not be built, other solutions are available."
2530;immigration;"[img]http://sfgate.com/c/pictures/2006/05/29/mn_border_fence_1.jpg[/img] not sure if image tags work on here, but if the pic doesnt show,, its what they are in the process of building,, its about 3 feet tall with 3 strands of barbed wire,, ya, like tthats gonna work.";16;1;1;"A fence should not be built, other solutions are available."
1000;immigration;"I think it is absoulutly ridiculous that someone would suggest buliding a stretch of landmines. These are people not animals. The people who are running across the borders are people who want to make a better life for their families. They are coming over to work for barely anything and are will to do whatever it takes. I dont know what needs to be done to help prevent the number of illegal immigrants crossing the border but something humane and fair can be done. Building a wall is not going to do anything. These people are desperate and will do whatever it takes to create a better life for their families. Wouldnt you?";16;1;1;"A fence should not be built, other solutions are available."
3083;immigration;"It is ALREADY allowed. There is a legal process for foreigners to enter and even become legal residents of this country. Corporations and those on vacation make use of legal entrance to our country on a daily basis. We cannot afford to allow people to cross our borders illegally without knowing who they are (criminals, most likely, and terrorists also a threat) or what they are bringing in (from alien plant and animal life that can wreak havoc on our ecosystems to weapons, poisons, drugs, or toxic materials that can be used against us or sold to criminals in our country already). Send us your poor, your huddle masses, but we're not going to sacrifice our national security and more importantly sovereignty by letting hundreds of thousands of undocumented criminals into our hometowns and backyards.";16;0;1;"Yes, It makes moral as well as financial sense to allow immigrants into the United States."
96;immigration;"NO. It's no different than me breaking into your house and taking something out of it which isn't mine. Even if 5000 immigrants out of 7000 immigrants get their citizenship, the damage was already done. We spend our taxpayer money on their benefits. The more they receive, the less we receive. Action must be taken.";16;0;1;"Yes, It makes moral as well as financial sense to allow immigrants into the United States."
3417;immigration;"I’m not saying that all are criminals but if even one death or robbery occurred because of them it was to much. What about legal immigrants? Or even natural citizens? Its ok for the them to committ crimes because they are paying their taxes?";16;1;1;Disagree
3433;immigration;"Perhaps if society were a bit easier on these people, both in the US and in Mexico/Cuba, then they wouldn't have to come illegally!";16;1;1;Disagree
3317;immigration;"What you have made here is a statement with no point to agree or disagree with from what I can tell. You point out that illegal immigrants cause economic and social hardships. Okay, we all know this. But, they are by definition - illegal. Its a self evident statement - like saying drunk drivers are a menace on the roads. So, what exactly is your point? What are you proposing here? Do you have a solution, are you looking for a cause for the problem? This is a good topic, can you set the stage for an arguement?";16;1;1;Disagree
450;immigration;"I found it very curious that Jordyz singled out Mexicans and Cubans because besides Mexico, there are several countries that produce many more immigrants than Cuba. Second of all Jordyz most likley lives in So Florida which is then only place that Cuban immigrants are part of the scene. Finally, Cubans are NOT illegal immigrants because Cubans have a special policy just for them. Any Cuban that touches US soil is not an illegal, he is granted immediate residence because of the "wet foot-dry foot" law. After 1 year and 1 day a Cuban is qualified for official US residency, the "green card" This is a ploicy I have problems with but nevertheless it exists, there have been cases where a ship comes in with Haitians and Cubans, the Cubans stay and the Haitians get re-patriated, bizzarre because Haiti's living conditions and political prosecution are far worse than Cuba The US must bear a great deal of responsibility for causing the conditions in Mexico, Central America, South America and elsewhere that force persons to abandon their homeland and desire to come to the US";16;1;1;Disagree
450;immigration;"You must stop with making Chrisitianity an issue for everything, I'll wipe my a** with the pages of the bible for all it is worth. Latinos-Hispanics-Spanish speakers come in all races and religions and are diverse. He in So Cal a true melting pot of Latinos I have learned the differences amongs Latins, they are not monolithic, they are not all Catholics or Chrisitians either, they are Muslims, Buddhists, atheists et al Puerto Ricans are US citizens just as much as people born in Denver or Pasadena, Cubans can not be illegal immigrants because of the wet foot, dry foot law made just for them.";16;1;1;Disagree
450;immigration;"The US breaks the legs of many nations and then accusses them of being cripple. The USa is not the sole factor for the reasons many citizens of the Americas want to migrate to the US but they are a contributer. The US stole the land they built the canal on, Panama was not a country it was a province of Colombia until the US intervened for their own benefit and created the nation of Panama without compensation to Colombia Every hear of the Monroe Doctirne? The Platt Amendment?, discover them and learn. Remember Contra Gate? The invasion of Grenada?, the Dominican Republic? Check out this landmark book, The Open Veins of Latin America", it is the book given to Obama by Chavez in the recent conference in Trinidad. Here's a review In Open Veins of Latin America Galeano analyzes the history of Latin America as a whole from the time period of the European discovery of the New World to contemporary Latin America arguing against European and later U.S. economic exploitation and political dominance over the region. The Library Journal review stated, "Well written and passionately stated, this is an intellectually honest and valuable study";16;1;1;Disagree
986;immigration;"If illegal imagration is that big of a problem we can take that 10 billon dollars and make a nice wall with it, if that dosen't fix the problem then the problem isn't imigration";16;1;1;Disagree
368;immigration;"...racist. Enough said.";16;1;1;Disagree
368;immigration;"There's a reason people immigrate to the United States. Some people are simply born into poverty. If it were you, why would you NOT come to a land which is rumoured to have more opportunities? Everyone should get a chance at something like America. Granted, there should be some restrictions so we don't become an overcrowded pig sty of a country... but it's about time Americans stopped hogging at least some of their good fortune. By the way, this to denverdannydee especially, just because someone speaks a different language doesn't mean they are some sort of outer space freak. They are people just like everyone else. Maybe you should go to France if you want to know what it's like... some of them are just simply nasty to foreigners, especially Americans for some reason.";16;1;1;Disagree
368;immigration;"You are saying that all immigrants are lazy, dirty, destructive and deadly? That is definitely not true, and I'm sure you know it... if you really believe it, I must ask you to PROVE that they are all of those things. Born Americans can be lazy, dirty, destructive and deadly as well... you can't just single out immigrants because for some reason you don't like them.";16;1;1;Disagree
171;immigration;"If I was in the states for May Day I'd go rally :P";16;0;1;"Racist, bad for the country"
