author_id;topic;text;topic_id;discussion_stance_id;topic_stance_id;discussion_stance
21;"marijuana legalization";"It's healthier for you than cigarettes and does little harm to anyone, I don't see why it shouldn,t be legal. If anything, cigarettes should be illegal.";10;0;2;"Yes, it should be legal"
21;"marijuana legalization";"Cigarettes have caused the death of millions, through lung cancer. Cigarettes also kill brain cells. Heck, holding your breath makes you lose brain cells. Marijuanna is a hell of a lot healthier than cigarettes and I think it should be legalized rather than cigs.";10;0;2;"Yes, it should be legal"
646;"marijuana legalization";"Explain how marijuana is worse than (the 100% legal) alcohol or tobacco and I'll concede the point.";10;0;2;"Yes, it should be legal"
646;"marijuana legalization";""marijuana messes with your head and causes you to (scientifically proven) lose brain cells" So does alcohol. And show me how many people were killed by stoned drivers.";10;0;2;"Yes, it should be legal"
1098;"marijuana legalization";"marijana is less harmful to your brain and body than alcohol.";10;0;2;"Yes, it should be legal"
1323;"marijuana legalization";"I disagree with King. It's pertinent to the discussion to address cigarettes and alcohol. If we've criminalized marijuana because of its danger, we should see if other things are more dangerous that are legal. If they are, then that is evidence that it's okay to legalize marijuana. I'm nearly a straight arrow. I've never smoked anything, and I drink once every few years, but I think marijuana should be legal. By legalizing it, the black market that involves it will disappear and so will the crime and gangs that go along with those black markets. (I understand that this isn't a cure for drug-related crime, but it will alleviate it). Furthermore, I have a natural desire to prevent government from treating us like we're too irresponsible to live our own lives. As long as what we do does not adversely affect others, I think it should be legal. More illicit drugs I'm not sure about because one mistake can lead to a physical inability to discontinue use.";10;0;2;"Yes, it should be legal"
797;"marijuana legalization";"Once it becomes legal you will not be hanging around criminals. So the culture will be VERY different if you have professionals using it responsibly, they won’t have to go to the seedy guy on the corner and pretend to be his friend. That will trickle down to teenagers too, the less shady people to associate with the better.";10;0;2;"Yes, it should be legal"
167;"marijuana legalization";"this argument is all a matter of what information you choose to acknowledge. for every published piece that says marijuana does less harm to the body then cigarettes, there is a counter-piece that says it does more. it's all propaganda. so how do we decide what the real deal is? compare marijuana to alcohol. it's as simple as that. alcohol is a mind-altering substance. furthermore, while marijuana may make people, at worst paranoid, the general effects are euphoria, a tendency towards laughter, dry mouth, and hunger. alcohol on the other hand causes aggression, disorientation, nausea, vomiting, and even death. and alcohol is legal!!! as for the argument that marijuana is a gateway drug, this is circumstantial at best. as some people have a genetic, chemical imbalance that makes them more prone to alcohol, some people have a genetic potential to be more chemically dependent. only because marijuana is safer, more easily available, and more widely accepted is it the drug that most people start with. in conclusion, make it legal, put the same laws around it that we have for alcohol, and tax the sh*t out of it. it will only add to the economy, as opposed to the millions of dollars the government spends trying to fight the war on drugs, a war that will never be won.";10;0;2;"Yes, it should be legal"
167;"marijuana legalization";"to make a further argument, one that is not a comparison to alcohol, i will supply this information. the reason marijuana was made illegal was the prevent hemp from becoming the predominant paper product in the world. about a century ago, it was discovered that hemp is a material far superior to wood pulp in the production of paper. however, in order to make the conversion from wood pulp to hemp in the paper mills, owners of the mills would be forced to spend large sums of money to retool their machines. as it so happens, one of the largest paper companies at the time was run by a man who also owned several newspapers. in order to avoid having to spend his profits from the paper mills to make the conversion, he began printing false news articles saying that black people (since this was shortly after the freeing of the slaves and society disdained african americans) were getting high on marijuana and then raping and beating white women. the articles were completely false, but the general public, upon reading these stories was outraged. marches were held on washington, and marijuana was quickly made illegal. this means that hemp could not be grown locally, so importanting it would make it more expensive then local wood pulp for the paper mills, so they were able to maintain their present system and we have been killing trees ever since. what does all this mean in terms of legalization? it means that the negative image of marijuana is one of strictly societal views. science had nothing to do with the decision to make marijuana illegal, and had society not been presented with such a negative illustration of the drug, things would be very very different today. and what does it matter if its legal or not? like i said before, the real difference between the drug being legal or illegal is that, in one manner, legalizing it will bring in funds for the government, where as keeping it illegal will only force the government to expend funds. its simple economics.";10;0;2;"Yes, it should be legal"
528;"marijuana legalization";"Okay, I’m new here, but I can’t believe this debate is even this close. It’s like listening to a TV commercial. Even the TV commercials, by the way have abandoned most of the opposing arguments. No they just say that marijuana just makes you lazy, very true. Let’s start from the top. A “Gateway Drug” is any drug that leads to other drugs…marijuana is not the first drug for everyone. Sex causes you to lose brain cells, and since when does a stranger or the government have authority over my brain cells. When you say all the “druggies”, does that include the coffee addicts I wade through every morning at work, or the CVS regulars. I thought I heard someone say that marijuana wasn’t less harmful than cigarettes, but that would be crazy. The only reason I would want marijuana to remain illegal is that is shows people and the government for the hypocrites they are. So, “the kids”, being the bright little rays of sunshine they are realize right away that the adults are full of sh*t, and therefore ignore them. The government doesn’t care about your health or mine. My right to choose the drug of my choice shouldn’t be predicated on what some stranger likes and doesn’t like. I don’t like coffee, cigarettes, beer, or marijuana…but I like freedom. Leave me the hell alone with my drugs, like they do you all out there with your purple pills, Viagra, and whatever else you hypocrites out there snort, pop, or inject into your body.";10;0;2;"Yes, it should be legal"
167;"marijuana legalization";"i smoke marijuana. im not going to lie about it. im not ashamed of it. furthermore, i graduated third in my high school and am attending college on a full ride, where i consistently make the deans list. the people i hang out with who smoke are the top of our class, and some of the smartest people i know and probably smarter then you for making such an ignorant post. furthermore, legalization would decrease price. the price of drugs is based on the ease of importation and the risk involved. eliminate the risk and make production domestic and you have a price reduction. sure, you can try to argue that the government can tax the begeezus out of it, but that would just drive people to grow their own";10;0;2;"Yes, it should be legal"
