author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
76,abortion,"['i', 'choose', 'life', 'reagan', 'once', 'said', 'something', 'like', 'this', 'notice', 'that', 'everyone', 'who', 'is', 'pro', 'choice', 'has', 'been', 'born']",3,1,2,Pro-Life
76,abortion,"['actually', 'the', 'government', 'does', 'tell', 'women', 'what', 'they', 'can', 'and', 'ca', ""n't"", 'do', 'with', 'their', 'bodies', 'it', ""'s"", 'illegal', 'to', 'commit', 'suicide', 'if', 'a', 'person', 'is', 'caught', 'trying', 'to', 'hack', 'themselves', 'to', 'peices', 'they', 'could', 'be', 'placed', 'in', 'a', 'mental', 'institute', 'so', 'the', 'government', 'actually', 'does', 'limit', 'what', 'a', 'woman', 'can', 'do', 'with', 'her', 'body']",3,1,2,Pro-Life
76,abortion,"['that', 'situation', 'is', 'very', 'rare', 'and', 'can', 'usually', 'be', 'countered', 'with', 'a', 'contraceptive', 'drug', 'if', 'the', 'woman', 'seeks', 'medical', 'attention', 'after', 'the', 'assault']",3,1,2,Pro-Life
1761,abortion,"['nobody', 'has', 'the', 'right', 'to', 'tell', 'you', 'what', 'to', 'do', 'with', 'your', 'body', ',', 'but', 'if', 'that', 'which', 'you', 'are', 'trying', 'to', 'rid', 'off', 'moves', 'away', 'at', 'the', 'first', 'sign', 'of', 'pain', ',', 'without', 'you', 'feeling', 'it', ',', 'then', '``', 'that', ""''"", 'is', 'no', 'longer', 'yours', ',', 'since', 'it', 'feels', 'outside', 'your', 'own', '.']",3,1,2,Pro-Life
1823,abortion,"['there', 'are', 'tons', 'of', 'ways', 'to', 'not', 'get', 'pregnant', '.', 'there', 'are', 'condoms', '(', '99', '%', 'effective', ')', 'for', 'men', 'and', 'women', ',', 'there', 'are', 'morning-after', 'pills', '(', '75', '%', 'effective', ')', ',', 'the', 'patch', ',', 'pill', ',', 'and', 'other', 'forms', 'of', 'ways', 'not', 'to', 'get', 'pregnant', '.', 'it', ""'s"", 'the', 'woman', ""'s"", 'fault', 'that', 'she', 'did', ""n't"", 'do', 'it', '.', 'and', 'maybe', 'instead', 'of', 'pro-choice', 'vs.', 'pro-life', ',', 'they', '(', 'i', 'do', ""n't"", 'know', 'who', '``', 'they', ""''"", 'is', ')', 'should', 'have', 'pro-life', ',', 'but', 'with', 'exceptions', '(', 'i.e', '.', 'women', 'that', 'get', 'raped', ')', 'so', 'that', 'it', ""'s"", 'fair', 'all-around', '.']",3,1,2,Pro-Life
319,abortion,"['i', 'recently', 'read', 'a', 'story..i', 'wish', 'i', 'could', 'find', 'it', ',', 'but', 'i', 'cant', ',', 'so', 'ill', 'give', 'you', 'a', 'summary', 'you', 'are', 'a', 'doctor', '.', 'two', 'mothers', 'come', 'in', ',', 'seperately', '.', 'both', 'ask', 'for', 'your', 'choice', 'on', 'an', 'abortion', '.', 'you', 'feel', 'the', 'weight', 'of', 'a', 'life', 'on', 'your', 'shoulders', '.', 'it', 'goes', 'on', 'like', 'this', ',', 'giving', 'the', 'backgrounds', 'of', 'the', 'mothers', '.', 'then', 'it', 'poses', 'the', 'statement', ':', 'should', 'you', 'decide', 'to', 'abort', 'either', 'one', ',', 'you', 'may', 'have', 'robbed', 'the', 'world', 'the', 'beautiful', 'mind', 'of', 'leonardo', 'da', 'vinci', 'or', 'the', 'cruelty', 'of', 'adolf', 'hitler', '.', 'i', 'think', 'that', 'every', 'child', 'has', 'a', 'right', 'to', 'live', 'in', 'this', 'world', ',', 'except', 'in', 'a', 'few', 'extreme', 'circumstances', '...', 'if', 'it', 'was', 'an', 'unwanted', 'pregnancy', ',', 'and', 'only', 'if', 'the', 'pregnancy', 'is', 'in', 'the', 'early', 'stages', '.', 'that', 'is', 'my', 'view']",3,1,2,Pro-Life
1855,abortion,"['while', 'this', 'debate', 'is', 'made', 'more', 'palatable', 'when', 'said', 'to', 'be', 'based', 'on', 'a', 'disagreement', 'between', 'choice', '(', 'democracy', ')', 'or', 'the', 'lack', 'there', 'of', '(', 'fascism', ')', '-', 'i', 'beg', 'those', 'on', 'either', 'side', 'of', 'the', 'line', 'to', 'at', 'least', 'be', 'honest', 'with', 'each', 'other', '.', 'if', 'one', 'holds', 'firm', 'to', 'a', 'belief', 'stating', 'that', 'life', 'begins', 'at', 'conception', ',', 'any', 'act', 'which', 'eliminates', 'said', 'life', 'is', 'by', 'definition', 'murderous', 'and', 'therefore', 'wrong', '.', 'regardless', 'of', 'the', 'reason', 'of', 'the', 'life', ""'s"", 'inception', ',', 'it', 'is', 'a', 'life', 'and', 'no', 'human', 'being', 'has', 'a', 'right', 'to', 'extinguish', 'an', 'innocent', '.', 'if', 'one', 'does', 'not', 'believe', 'that', 'life', 'begins', 'at', 'conception', 'than', 'they', 'are', 'able', 'to', ""'choose"", ""'"", 'whether', 'it', 'is', 'to', 'be', 'allowed', '(', 'legal', ')', 'or', 'prohibited', '(', 'illegal', ')', '.', 'so', 'the', 'debate', 'should', 'center', 'on', 'when', 'life', 'begins', ',', 'allow', 'those', 'who', 'believe', 'it', 'to', 'begin', 'post', 'conception', 'to', 'bicker', 'on', 'the', 'morality', 'of', 'abortion', '.', 'those', 'of', 'us', 'who', 'believe', 'it', 'to', 'begin', 'at', 'conception', 'are', 'unable', 'to', 'debate', ',', 'as', 'it', 'is', 'an', 'absolute', 'in', 'our', 'mind', 'and', 'by', 'definition', 'is', 'unable', 'to', 'be', 'changed', '.']",3,1,2,Pro-Life
1855,abortion,"['not', 'to', 'be', 'glib', ',', 'but', 'are', 'you', 'stating', 'that', 'we', 'should', 'look', 'to', 'the', 'government', 'to', 'assist', 'us', 'with', 'our', 'belief', 'system', '.', 'ever', 'read', 't.', 'hobbes', '...', '?']",3,1,2,Pro-Life
78,abortion,"['do', ""n't"", 'kid', 'yourself', ':', 'the', 'vast', 'majority', 'of', 'abortions', 'in', 'this', 'country', 'are', 'for', 'reasons', 'of', 'convenience', '.', 'if', 'i', 'was', 'allowed', 'to', 'kill', 'someone', 'anytime', 'they', 'were', 'inconvenient', 'to', 'me', ',', 'i', 'would', 'be', 'leaving', 'a', 'trail', 'of', 'bodies', 'behind', 'me', 'when', 'i', 'walked', 'down', 'the', 'street', '.']",3,1,2,Pro-Life
167,abortion,"['i', 'do', ""n't"", 'disagree', 'that', 'people', 'have', 'the', 'right', 'to', 'do', 'what', 'they', 'want', 'with', 'their', 'bodies', ',', 'hence', 'the', 'reasons', 'i', 'am', 'all', 'for', 'tattoos', 'and', 'piercings', 'and', 'whatever', 'other', 'kinds', 'of', 'body', 'modification', '.', 'but', 'the', 'choice', 'we', 'are', 'talking', 'about', 'here', 'is', 'not', 'about', 'a', 'woman', ""'s"", 'body', '.', 'this', 'is', 'about', 'another', 'life', ',', 'not', 'a', 'woman', ""'s"", 'body', '.', 'we', 'do', ""n't"", 'have', 'the', 'choice', 'to', 'murder', 'people', 'without', 'consequence', '.', 'this', 'is', 'no', 'different', '.', 'people', 'need', 'to', 'accept', 'the', 'consequences', 'of', 'their', 'actions', '.', 'you', 'have', 'sex', 'and', 'do', ""n't"", 'use', 'protection', ',', 'you', 'pay', 'the', 'price', '.', 'if', 'you', 'truly', 'feel', 'that', 'you', 'are', 'not', 'able', 'to', 'raise', 'and', 'care', 'for', 'a', 'child', ',', 'there', 'is', 'always', 'the', 'option', 'of', 'adoption', '.', 'i', 'was', 'adopted', '.', 'i', 'thank', 'my', 'lucky', 'stars', 'everyday', 'that', 'my', 'mom', 'made', 'the', 'smart', 'choice', '.', 'just', 'put', 'yourself', 'in', 'that', 'position', '.', 'just', 'considerer', 'for', 'five', 'minutes', 'that', 'the', 'possibility', 'that', 'you', 'might', 'not', 'be', 'alive', '.', 'its', 'a', 'scary', 'thought', ',', 'is', ""n't"", 'it', '?', 'abortion', 'is', 'murder', ',', 'plain', 'and', 'simple', '.']",3,1,2,Pro-Life
