author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
502,"""climate change""","['this', 'argument', 'is', 'not', 'well', 'worded', '.', 'there', 'is', 'going', 'to', 'be', 'a', 'middle', 'ground', '.', 'what', 'if', 'you', 'think', 'that', 'it', 'is', 'a', 'threat', ',', 'but', 'that', 'human', 'behavior', 'does', ""n't"", 'affect', 'it', 'as', 'much', 'as', 'we', 'think', '?', 'or', ',', 'what', 'if', 'you', 'believe', 'it', 'is', 'a', 'threat', 'but', 'not', 'as', 'much', 'as', 'others', 'would', '?', 'needs', 'some', 'narrowing', 'to', 'really', 'be', 'a', 'good', 'topic', '.']",4,1,3,"""That global warming is not happening, or it isn't a threat, or it isn't influenced by human behavior"""
454,"""climate change""","['in', 'my', 'opinion', ',', 'global', 'warming', 'is', 'just', 'a', 'huge', 'hoax', '!', 'if', 'one', 'person', 'can', 'legitimately', 'answer', 'my', 'question', ',', 'you', 'will', 'have', '``', 'convinced', 'me', ""''"", '.', 'question', ':', '``', 'how', 'did', 'the', 'ice', 'age', 'thousands', 'of', 'years', 'ago', 'end', '?', ""''""]",4,1,3,"""No, I do not Beleive in Global Warming"""
454,"""climate change""","['many', 'true', 'scientists', 'claim', 'that', 'it', 'is', 'just', 'a', 'hoax', '.', 'they', 'say', 'that', 'the', 'earth', ""'s"", 'temperature', 'constantly', 'changes', '.', 'the', 'ice', 'age', 'ended', 'well', 'before', 'man', 'came', 'in', 'and', 'started', 'to', 'pollute', 'the', 'environment', '.', 'note=', 'michael', 'savage', 'was', 'the', 'one', 'i', 'took', 'this', 'question', 'from', ',', 'please', 'give', 'him', 'credit', '.', 'www.michaelsavage.com']",4,1,3,"""No, I do not Beleive in Global Warming"""
1956,"""climate change""","['i', ""'m"", 'voting', 'on', 'this', 'side', 'not', 'really', 'because', 'i', 'believe', 'it', ""'s"", 'a', 'huge', 'hoax', 'but', 'instead', 'that', 'it', ""'s"", 'being', 'inflated', 'and', 'blown', 'out', 'of', 'its', 'true', 'proportions', 'by', 'those', 'who', 'stand', 'to', 'gain', 'politically', 'or', 'financially', 'because', 'of', 'it', '.', 'on', 'the', 'other', 'hand', ',', 'the', '``', 'sceptics', ""''"", 'also', 'seem', 'to', 'have', 'rather', 'a', 'lot', 'to', 'gain', '.', 'i', 'trust', 'neither', 'side', '.', 'ultimately', ',', 'humanity', 'will', 'adapt', 'and', 'find', 'a', 'way', 'to', 'solve', 'our', 'problems', '.', 'be', 'it', 'millions', 'of', 'tiny', 'particles', 'launched', 'into', 'the', 'atmosphere', 'or', 'truly', 'renewable', 'super-macro-micro-energo-duxu-electro-microwave-energy', ',', 'there', 'will', 'be', 'a', 'way', 'to', 'solve', 'it', '.', 'so', 'i', ""'m"", 'not', 'worried']",4,1,3,"""No, I do not Beleive in Global Warming"""
1954,"""climate change""","['i', 'think', 'when', 'anyone', 'refers', 'to', 'global', 'warming', 'they', 'should', 'tack', 'on', 'theory', 'to', 'the', 'end', 'of', 'it', '.', 'their', 'are', 'several', 'reasons', 'why', 'i', 'remain', 'weary', 'about', 'this', 'theory', '.', 'first', 'of', 'all', 'the', 'amount', 'of', 'data', 'we', 'have', 'to', 'go', 'by', 'is', 'not', 'enough', '.', 'not', 'enough', 'to', 'draw', 'any', 'conclusions', 'yet', '.', 'it', 'is', 'a', 'blink', 'of', 'an', 'eye', 'in', 'the', 'history', 'of', 'this', 'earth', 'and', 'its', 'climate', '.', 'some', 'of', 'the', 'data', 'and', 'graphs', 'we', 'do', 'have', 'has', 'even', 'been', '``', 'adjusted', ""''"", '.', 'everyone', 'knows', 'the', 'great', 'hockey', 'stick', 'graph', 'that', 'has', 'gained', 'much', 'popularity', 'amongst', 'supporters', '.', 'the', 'big', 'problem', 'with', 'this', 'is', 'they', 'eliminated', 'the', 'medieval', 'warming', 'period', '.', 'this', 'was', 'accomplished', 'by', 'giving', 'up', 'to', '390', 'times', 'more', 'weight', 'to', 'reconstructed', 'tempuratures', '.', 'by', 'elimatated', 'this', 'documented', 'piece', 'of', 'history', 'it', 'makes', 'the', 'current', 'slight', 'warming', 'to', 'be', 'nothing', 'out', 'of', 'the', 'ordinary', '.', 'http', ':', '//www.telegraph.co.uk/news/main.jhtml', '?', 'xml=/news/2006/11/05/nosplit/nwarm05.xml', 'the', 'graph', 'on', 'this', 'website', 'that', 'actaully', 'acknowledges', 'the', 'medival', 'warming', 'period', 'makes', 'the', 'current', 'warming', 'trend', 'seem', 'like', 'a', 'nice', 'treat', '.', 'the', 'next', 'problem', 'i', 'have', 'is', 'that', 'computer', 'models', 'are', 'relied', 'on', 'way', 'to', 'heavily', 'to', 'get', 'the', 'results', 'and', 'predictions', 'that', 'supporters', 'swear', 'by', '.', 'the', 'funny', 'part', 'is', 'models', 'made', 'in', '2002', 'are', 'already', 'shown', 'to', 'be', 'wrong', '.', 'if', 'models', 'can', 'not', 'even', 'get', 'a', 'few', 'years', 'ahead', 'right', 'how', 'can', 'we', 'believe', 'so', 'fully', 'in', 'them', 'even', '10', 'or', '20', 'years', 'ahead', '.', 'how', 'about', '100', 'years', '?', 'we', 'ca', ""n't"", 'predict', 'what', 'the', 'weather', 'is', 'going', 'to', 'do', 'a', 'day', 'ahead', 'and', 'we', 'definatly', 'can', 'not', 'generate', 'accurate', 'models', 'of', 'climate', 'trends', '.', 'especially', 'considering', 'how', 'complex', 'a', 'system', 'it', 'is', 'and', 'how', 'many', 'factors', '(', 'some', 'we', 'probably', 'do', 'not', 'even', 'know', 'or', 'can', 'not', 'measure', ')', '.', 'another', 'big', 'issue', 'that', 'carbon', 'emissions', 'can', 'not', 'explain', 'is', 'the', 'recent', 'cooling', 'of', 'the', 'oceans', 'since', '2003.', 'this', 'also', 'goes', 'against', 'predictions', 'made', 'very', 'recently', '.', 'so', 'why', 'when', 'carbon', 'emissions', 'are', 'at', 'the', 'highest', 'would', 'the', 'largest', 'mass', 'of', 'water', '(', 'which', 'absorbs', 'over', '80', '%', 'of', 'the', 'suns', 'rays', ')', 'start', 'cooling', '?', 'i', 'am', 'not', 'saying', 'that', 'the', '1/10,000', 'of', 'the', 'atmosphere', 'does', 'not', 'contribute', 'to', 'the', 'tempurature', '.', 'i', ""'m"", 'not', 'saying', 'it', 'does', '.', 'think', 'about', 'it', 'logical', 'and', 'in', 'a', 'very', 'large', 'scope', ',', 'the', 'least', 'this', 'should', 'do', 'is', 'make', 'you', 'call', 'it', 'the', 'global', 'warming', 'theory', '.', 'enjoy', 'the', 'warm', 'weather', 'while', 'it', 'lasts', '...']",4,1,3,"""No, I do not Beleive in Global Warming"""
661,"""climate change""","['that', 'the', 'global', 'temperature', 'is', 'increasing', 'may', 'be', 'true', '.', 'but', 'is', 'that', 'a', 'consequence', 'of', 'human', 'behaviour', '?', 'and', 'if', 'humans', 'do', 'have', 'a', 'part', 'in', 'it', ',', 'how', 'much', 'is', 'that', 'part', '?', 'if', 'i', 'piss', 'in', 'a', 'river', 'and', 'there', ""'s"", 'a', 'flood', 'several', 'kms', 'away', ',', 'how', 'much', 'is', 'my', 'responsibility', '?', 'what', 'has', 'been', 'terribly', 'increasing', ',', 'recently', ',', 'is', 'the', 'concentration', 'of', 'carbon', 'dioxide', '.', 'in', 'the', 'past', 'that', 'concentration', 'and', 'the', 'average', 'temperature', 'used', 'to', 'be', 'correlated', '.', 'co2', 'used', 'to', 'vary', ',', 'in', 'millennias', ',', 'between', 'something', 'like', '200', 'and', '300', 'ppm', '.', 'temperature', 'used', 'to', 'vary', 'between', 'somewere', 'in', 'the', '-10câ°', 'to', '+2â°', 'range', '.', 'the', 'two', 'values', 'varied', 'more', 'or', 'less', 'at', 'the', 'same', 'time', '.', 'in', 'recent', 'millennia', 'co2', 'has', 'been', 'around', '280', 'ppm', 'and', 'temperature', 'around', '-0.5câ°', '.', 'in', 'the', 'last', 'fiew', 'decades', 'co2', 'skyrocketed', 'to', 'over', '400', 'ppm', '.', 'if', 'temperature', 'was', 'a', 'consequence', 'of', 'co2', 'we', 'would', 'now', 'have', 'average', 'temperatures', 'several', 'degrees', 'above', 'the', 'ones', 'we', 'do', 'have', 'and', '1/3', 'of', 'current', 'land', 'would', 'be', 'below', 'the', 'ocean', '.', 'in', 'fact', 'temperature', 'is', 'correlated', 'to', 'many', 'different', 'causes', '.', 'co2', 'being', 'only', 'one', '.', 'is', 'temperature', 'rising', '?', 'yes', '.', 'are', 'we', 'doing', 'it', '?', 'partly', 'yes', ',', 'but', 'we', 'play', 'a', 'little', 'role', 'in', 'it', '.', 'instead', 'of', 'debating', 'how', 'we', 'should', 'reduce', 'co2', 'emissions', ',', 'we', 'should', 'be', 'debating', 'the', 'fact', 'that', 'even', 'if', 'we', 'were', 'to', 'stop', 'any', 'and', 'all', 'emission', 'the', 'temperature', 'would', 'keep', 'rising', '(', 'it', 'would', 'rise', 'even', 'if', 'we', 'were', 'not', 'here', ',', 'just', 'it', ""'ll"", 'do', 'it', 'at', 'a', 'different', 'peace', ')', '.', 'the', 'problem', 'is', 'not', 'just', 'to', 'stop', 'emissions', '.', 'the', 'problem', 'is', 'we', 'should', 'prepare', 'for', 'a', 'temperature', 'rise', '.', 'if', 'you', 'think', 'it', ""'s"", 'hard', 'to', 'convince', 'people', 'they', 'should', 'stop', 'using', 'cars', ',', 'think', 'how', 'hard', 'it', 'is', 'to', 'convince', 'whole', 'countries/states', 'they', 'should', 'move', 'away', 'before', 'they', 'sink', 'into', 'the', 'ocean', '.', 'that', ""'s"", 'what', 'we', 'should', 'be', 'debating', '.']",4,1,3,"""No, I do not Beleive in Global Warming"""
1851,"""climate change""","['first', ',', 'lets', 'clarify', 'that', '``', 'global', 'warming', ""''"", 'is', 'not', 'simply', 'natural', 'climate', 'change', ',', 'but', 'a', 'climate', 'change', 'that', 'is', 'directly', 'caused', 'by', 'human', 'activity', '.', 'given', 'the', 'incredible', 'influence', 'of', 'natural', 'causes', 'of', 'climate', 'change', ',', 'and', 'our', 'relatively', 'small', 'influence', 'on', 'the', 'entire', 'globe', ',', 'human', 'caused', 'global', 'warming', 'is', 'suspect', 'from', 'the', 'beginning', '.', 'so', ',', 'why', 'do', 'people', '``', 'believe', ""''"", 'in', 'global', 'warming', '?', 'two', 'factors', 'fit', 'together', ':', 'first', ',', 'it', 'is', 'empowering', '.', 'look', 'how', 'much', 'dominion', 'we', 'have', 'over', 'our', 'world', '.', 'second', ',', 'it', 'allows', 'vilification', 'of', 'an', 'easy', 'enemy', '-', 'corporations', '.', 'the', '``', 'science', ""''"", 'behind', 'global', 'warming', 'is', 'an', 'odd', 'patch', 'work', 'of', 'data', 'that', 'highlights', 'what', 'the', 'believer', 'wants', 'to', 'hear', '(', 'the', 'hottest', 'season', 'on', 'record', 'for', 'x', 'location', ')', 'and', 'ignores', 'the', 'data', 'that', 'runs', 'contrary', 'to', 'the', 'theory', '(', 'the', 'coldest', 'season', 'on', 'record', 'for', 'y', 'location', ')', '.', 'and', 'if', 'a', 'scientist', 'demonstrates', 'significant', 'flaws', 'in', 'the', 'theory', ',', 'they', 'are', 'conveniently', 'dismissed', 'as', '``', 'tainted', ""''"", 'by', 'corporations', '.']",4,1,3,"""No, I do not Beleive in Global Warming"""
171,"""climate change""","['no', ',', 'i', 'do', 'not', 'believe', 'in', 'global', 'warming', 'to', 'the', 'extent', 'that', 'the', 'media', '(', 'and', 'gore', ')', 'present', 'it', 'to', 'be', 'in', 'this', 'day', 'and', 'age', '.', 'the', 'earth', 'has', 'been', 'warming', 'for', 'the', 'past', '40,000', 'years', ',', 'since', 'the', 'last', 'little', 'ice', 'age', '.', 'the', 'earth', ""'s"", 'climate', 'is', 'a', 'non-linear', ',', 'chaotic', 'system', 'that', 'is', 'impossible', 'to', 'predict', '.', 'scientists', 'have', 'yet', 'to', 'prove', 'how', 'much', 'warming', 'is', 'produced', 'by', 'humans', ',', 'and', 'how', 'much', 'is', 'part', 'of', 'the', 'earth', ""'s"", 'natural', 'warming', 'process', 'as', 'it', 'exits', 'an', 'ice', 'age', '.', 'heres', 'a', 'small', 'hint', ',', 'the', 'kyoto', 'protocol', 'aims', 'to', 'reduce', 'co2', 'emissions', 'worldwide', 'in', 'order', 'to', 'combat', 'global', 'warming', '.', 'even', 'with', 'the', 'usa', 'on', 'board', '(', 'which', 'it', 'isnt', ')', ',', 'it', 'would', 'only', 'be', 'able', 'to', 'reduce', 'the', 'rise', 'in', 'temperature', 'by', '0.04', 'degrees', 'celsius', 'by', 'the', 'year', '2100.', 'in', 'other', 'sciences', ',', 'the', 'percentages', 'of', 'error', 'must', 'be', 'kept', 'extremely', 'low', '.', 'for', 'the', 'mars', 'landing', ',', 'only', 'a', 'minimal', 'percentage', '(', 'around', '2', '%', ')', 'was', 'allowed', 'in', 'their', 'calculations', ',', 'otherwise', 'the', 'lander', 'would', 'blow', 'up', 'on', 'impact', '.', 'in', 'global', 'warming', ',', 'scientists', ""'"", 'results', 'vary', 'by', 'up', 'to', '4000', '%', '.', 'let', 'us', 'go', 'back', 'to', 'the', '1970', ""'s"", '.', 'back', 'in', 'the', 'age', 'of', 'ford', 'there', 'was', 'a', 'catastrophe', 'at', 'hand', '.', 'scientific', 'research', 'had', 'shown', 'that', 'the', 'world', 'was', 'slipping', 'into', 'global', 'cooling', ',', 'and', 'many', 'leading', 'scientific', 'figures', 'were', 'on', 'board', '.', 'uc', 'davis', ""'"", 'kenneth', 'watt', 'back', 'on', 'earth', 'day', ',', '1970', ':', '``', 'if', 'present', 'trends', 'continue', ',', 'the', 'world', 'will', 'be', 'about', 'four', 'degrees', 'colder', 'in', '1990', ',', 'but', 'eleven', 'degrees', 'colder', 'by', 'the', 'year', '2000.', 'this', 'is', 'about', 'twice', 'what', 'it', 'would', 'take', 'to', 'put', 'us', 'in', 'an', 'ice', 'age.â€�', 'similar', 'comments', 'were', 'made', 'by', 'organizations', 'and', 'companies', 'such', 'as', 'international', 'wildlife', ',', 'science', 'digest', ',', 'the', 'christian', 'science', 'monitor', ',', 'and', 'newsweek', '.', 'if', 'someone', 'back', 'in', 'the', '1970', ""'s"", 'was', 'to', 'say', 'that', 'the', 'earth', 'would', 'definitely', 'warm', 'in', 'the', 'coming', '30', 'years', ',', 'it', 'would', 'be', 'considered', 'outrageous', '.', 'as', 'outrageous', 'as', 'it', 'may', 'be', 'for', 'us', 'to', 'state', 'that', 'global', 'warming', 'is', 'over', 'rated', '.', 'to', 'quote', 'mark', 'twain', ',', '``', 'whenever', 'you', 'find', 'yourself', 'on', 'the', 'side', 'of', 'the', 'majority', ',', 'it', 'is', 'time', 'to', 'pause', 'and', 'reflect.â€�', 'man', 'can', 'not', 'be', 'the', 'sole', 'cause', 'for', 'the', ""'soaring"", ""'"", 'climate', 'change', 'we', 'are', 'experiencing', '(', 'cities', 'around', 'the', 'world', 'find', 'their', 'average', 'temperatures', 'dropping', ')', '.', 'the', 'sun', ""'s"", 'effect', 'on', 'the', 'earth', 'is', 'at', 'an', 'all', 'time', 'high', 'for', 'the', 'last', 'millenia', '.', 'this', 'undoubtedly', 'must', 'have', 'some', 'affect', 'on', 'the', 'climate', 'of', 'the', 'earth', '.', 'i', 'refer', 'you', 'to', 'the', 'un', 'ipcc', ""'s"", 'third', 'assessment', 'report', 'from', '2001.', 'after', 'numerous', 'portions', 'stating', 'the', 'impossibility', 'of', 'predicting', 'global', 'warming', 'due', 'to', 'man', ""'s"", 'incapability', 'to', 'monitor', 'his', 'own', 'behavior', '(', 'ie', '.', 'population', 'change', ',', 'economic', 'change', ',', 'technological', 'development', ',', 'and', 'other', 'relevant', 'characteristics', 'of', 'future', 'human', 'activity', ')', ',', 'it', 'moves', 'on', 'to', 'state', 'â€œthe', 'long', 'term', 'prediction', 'of', 'future', 'climate', 'states', 'is', 'not', 'possible', '.', 'the', 'most', 'we', 'can', 'expect', 'to', 'achieve', 'is', 'the', 'prediction', 'of', 'the', 'probability', 'distribution', 'of', 'the', 'system', ""'s"", 'future', 'possible', 'states', 'by', 'the', 'generation', 'of', 'ensembles', 'of', 'model', 'solutions', '.', 'â€�', 'the', 'un', 'ipcc', 'states', 'that', 'long', 'term', 'prediction', 'is', 'not', 'possible', '(', 'ie', '.', 'a', 'century', 'or', 'more', ')', '.', 'why', '?', 'because', 'as', 'i', ""'ve"", 'mentioned', 'so', 'many', 'times', 'before', ',', 'the', 'earth', ""'s"", 'climate', 'system', 'is', 'non-linear', 'and', 'chaotic', '.', 'as', 'such', ',', 'no', 'level', 'of', 'linear', 'analysis', 'or', 'comparisons', 'could', 'hold', 'to', 'it', 'properly', '.']",4,1,3,"""No, I do not Beleive in Global Warming"""
1958,"""climate change""","['the', 'ozone', 'hole', 'in', 'antarctica', 'increases', 'with', 'colder', 'temperature', '.', 'see', ':', 'http', ':', '//www.abc.net.au/science/news/stories/2006/1754508.htm', '?', 'enviro', 'it', 'contains', 'this', 'quote', 'from', 'the', 'european', 'space', 'agency', ""'s"", 'atmospheric', 'engineer', '.', '``', 'this', 'year', ""'s"", 'extreme', 'loss', 'of', 'ozone', 'can', 'be', 'explained', 'by', 'the', 'temperatures', 'above', 'antarctica', 'reaching', 'the', 'lowest', 'recorded', 'in', 'the', 'area', 'since', '1979', '.', ""''"", 'so', 'your', 'statement', 'about', 'the', 'bigger', 'ozone', 'holes', 'is', 'true', ',', 'but', 'is', 'evidence', 'strongly', 'against', 'global', 'warming', '!', '!']",4,1,3,"""No, I do not Beleive in Global Warming"""
1958,"""climate change""","['1', ')', 'so', 'your', 'saying', 'the', 'ozone', 'hole', 'was', 'not', 'a', 'result', 'of', 'global', 'warming', '(', 'i.e', '.', 'cfcs', ')', '.', 'so', 'you', 'must', 'disagree', 'with', 'the', 'original', 'post', 'about', 'the', 'ozone', 'hole', 'being', 'part', 'of', 'global', 'warming', '.', '2', ')', 'the', 'increase', 'in', 'the', 'size', 'shows', 'cooling', 'over', 'antarctica', ',', 'if', 'i', 'remember', 'correctly', 'antarctica', 'was', 'part', 'of', 'the', 'globe', '.', 'hence', 'warming', 'must', 'not', 'be', 'global', '.']",4,1,3,"""No, I do not Beleive in Global Warming"""
