author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
1053,"""climate change""","['of', 'course', 'we', 'should', '.', 'it', 'is', 'scientificly', 'proven', 'that', 'is', 'a', 'threat', '.']",4,0,2,"""That global warming is really happening, is a threat to humankind and human behavior has influence o"""
485,"""climate change""","['how', 'could', 'u', 'not', 'believe..its', 'obviously', 'true..the', 'ozone', 'in', 'breaking', 'up', 'with', 'holes..']",4,0,2,"""Yes, I beleive in Global Warming"""
485,"""climate change""","['how', 'do', 'u', 'know', 'there', 'was', 'ever', 'an', 'ice', 'age', '?', '?']",4,0,2,"""Yes, I beleive in Global Warming"""
1328,"""climate change""","['my', 'question', 'for', 'you', 'would', 'be', 'how', 'do', 'you', 'explain', 'the', 'melting', 'of', 'the', 'polar', 'ice', 'caps', 'today', '.', 'i', 'mean', 'it', 'is', 'cold', 'out', 'side', 'right', 'now', ',', 'but', 'we', 'are', 'definitely', 'not', 'in', 'an', 'ice', 'age', '.']",4,0,2,"""Yes, I beleive in Global Warming"""
485,"""climate change""","['the', 'earth', ""'s"", 'temperature', 'changes', ',', 'but', 'the', 'climate', 'is', 'getting', 'hotter', 'and', 'hotter..', 'if', 'youve', 'ever', 'heard', 'of', 'the', 'ozone', ',', 'it', 'protects', 'the', 'earth', 'from', 'harmful', 'uv', 'rays', 'from', 'the', 'sun', '.', 'when', 'there', 'is', 'not', 'ozone', ',', 'uv', 'rays', 'will', 'enter', 'the', 'earth', ""'s"", 'atmosphere', 'and', 'make', 'it', 'hotter', 'here', '.', 'after', 'the', 'nuclear', 'war', '(', 'wwiii', '--', 'it', 'is', 'inevitable', ')', 'the', 'ozone', 'will', 'be', 'blown', 'to', 'bits', 'and', 'wont', 'exist', 'anymore..', 'therefore', 'whatever', 'is', 'left', 'of', 'the', 'human', 'race', 'wont', 'be', 'able', 'to', 'walk', 'the', 'earth', 'for', 'another', '10', 'years', 'or', 'so', 'till', 'it', 'rebulds', 'itself..']",4,0,2,"""Yes, I beleive in Global Warming"""
1328,"""climate change""","['what', 'true', 'scientists', 'say', 'this', '?', 'and', 'last', 'time', 'i', 'checked', 'savage', 'was', 'a', 'political', 'pundit', '(', 'republican', 'puppet', ')', '...', 'not', 'a', 'scientist', '.']",4,0,2,"""Yes, I beleive in Global Warming"""
1077,"""climate change""","['anytime', 'you', 'cite', 'michael', 'savage', 'your', 'argument', 'loses', 'all', 'credibility', '.', 'the', 'man', 'is', 'mentally', 'unstable', '.']",4,0,2,"""Yes, I beleive in Global Warming"""
1339,"""climate change""","['thomasa93', ':', 'this', 'debate', 'is', 'about', 'whether', 'or', 'not', 'global', 'warming', 'is', 'real', '.', 'it', 'does', 'not', 'ask', 'whether', 'you', 'believe', 'it', 'is', 'caused', 'by', 'human', 'activity', '.', 'since', 'you', 'acknowledge', 'that', 'earth', 'temperatures', 'do', 'in', 'fact', 'fluctuate', ',', 'are', 'you', 'conceding', 'the', 'reality', 'of', 'global', 'warming', ',', 'though', 'you', 'may', 'not', 'believe', 'it', 'is', 'caused', 'by', 'our', 'actions', '?']",4,0,2,"""Yes, I beleive in Global Warming"""
689,"""climate change""","['yesterday', '(', 'feb', '2nd', ')', 'was', 'the', 'first', 'big', 'snowstorm', 'here', 'in', 'worcester', ',', 'ma', 'new', 'england', '...', 'and', 'we', 'are', 'only', 'going', 'to', 'have', 'prolly', 'less', 'than', 'a', 'month', 'of', ""'real"", 'winter', ""'"", 'here', '...']",4,0,2,"""Yes, I beleive in Global Warming"""
755,"""climate change""","['i', 'believe', 'in', 'global', 'warming', '.', 'people', 'may', 'not', 'notice', 'it', ',', 'but', 'right', 'now', 'there', 'are', 'many', 'species', 'of', 'animals', 'that', 'are', 'going', 'extinct', '.', 'for', 'instance', ',', 'the', 'polar', 'bears', ',', 'their', 'behaviors', 'have', 'changed', 'because', 'of', 'this', '.', 'many', 'animals', 'in', 'the', 'frozen', 'lands', 'are', 'having', 'strange', 'behaviors', 'because', 'of', 'gw', '.', 'they', 'are', 'waking', 'up', 'earlier', 'today', 'from', 'hibernation', 'unlike', 'in', 'the', 'past', 'years', '.']",4,0,2,"""Yes, I beleive in Global Warming"""
755,"""climate change""","['yes', ',', 'it', 'is', 'true', 'that', 'the', 'temperature', 'of', 'the', 'earth', 'have', 'increased', 'since', 'those', 'years', '.', 'now', 'ask', 'yourself', 'this', 'question', ':', 'was', 'there', 'pollution', 'during', 'those', 'years', '?', 'yes', 'we', 'can', 'say', 'that', 'the', 'temperature', 'of', 'the', 'earth', 'is', 'increasing', '.', 'today', ',', 'it', 'is', 'still', 'increasing', 'but', 'abnormally', '.', 'this', 'is', 'caused', 'by', 'gases', 'that', 'accumulates', 'in', 'the', 'atmosphere', 'and', 'traps', 'the', 'heat', 'which', 'causes', 'global', 'warming', '.', 'a', 'thousand', 'years', 'ago', ',', 'the', 'ice', 'melted', 'for', 'about', 'a', 'hundred', 'plus', 'years', 'or', 'so', '.', 'now', ',', 'the', 'polar', 'regions', 'can', 'melt', 'in', 'more', 'or', 'less', '25', 'years', '.']",4,0,2,"""Yes, I beleive in Global Warming"""
