author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
613,evolution,"['i', 'see', 'your', 'points', 'and', 'they', 'are', 'valid', '.', 'however', ',', 'if', 'you', 'read', 'up', 'on', 'your', 'science', 'you', 'will', 'realize', 'that', 'a', 'large', 'amount', 'of', 'science', 'communities', 'believe', 'in', 'a', 'creationist', 'of', 'evolution', '.', 'they', 'look', 'at', 'the', 'facts', 'of', 'order', 'and', 'possibilities', 'as', 'well', '.', 'if', 'you', 'wan', 'na', 'call', 'god', 'a', 'sky', 'daddy', ',', 'then', 'i', 'believe', 'i', 'can', 'be', 'just', 'as', 'skeptical', 'about', 'the', 'universe', 'and', 'all', 'of', 'its', 'order', 'coming', 'together', 'from', 'random', 'parts', 'of', 'nothing', '.', 'its', 'as', 'if', 'a', 'bmw', 'were', 'formed', 'from', 'car', 'parts', 'just', 'because', 'you', 'threw', 'them', 'together', 'millions', 'of', 'years', 'ago', '.', 'sorry', 'folks', 'but', 'that', 'is', 'harder', 'to', 'believe', 'for', 'me', 'than', 'a', 'someone', 'or', 'something', 'orchestrating', 'everything', 'through', 'order', 'and', 'detail', '.']",7,1,3,Creation
613,evolution,"['oops', ',', 'i', 'meant', 'to', 'say', 'creationist', 'version', 'of', 'evolution', '.', 'my', 'apologies', '.']",7,1,3,Creation
1212,evolution,"['ah', 'creation', 'vs', 'evolution', '.', 'a', 'debate', 'that', 'is', 'essentially', 'the', 'debate', 'since', 'the', 'release', 'of', '``', 'the', 'origin', 'of', 'species', ""''"", 'by', 'charles', 'darwin', 'in', '1859.', 'now', 'let', ""'s"", 'look', 'at', 'each', '.', 'in', 'evolution', ',', 'the', 'general', 'theory', 'is', 'that', '``', 'populations', 'evolve', 'over', 'the', 'course', 'of', 'generations', 'through', 'a', 'process', 'of', 'natural', 'selection', '.', ""''"", 'where', 'as', 'in', 'creation', ',', 'the', 'explanation', 'is', 'that', 'someone/some', 'being/some', 'force', 'created', 'life', 'as', 'we', 'know', 'it', '.', 'while', 'evolutionary', 'theory', 'is', 'a', 'scientific', 'theory', '(', 'which', 'is', 'based', 'on', 'facts', ',', 'creationism', 'is', 'more', 'a', 'belief', 'or', 'rather', '``', 'faith', 'based', ""''"", 'as', 'one', 'puts', 'it', '.', 'at', 'first', 'appearances', ',', 'it', 'would', 'seem', 'that', 'evolutionary', 'theory', 'has', 'the', 'upper', 'hand', 'since', 'it', '``', 'evolves', ""''"", 'as', 'discoveries', 'are', 'made', '.', 'whereas', 'creationism', 'fails', 'because', 'it', ""'s"", 'a', 'set', 'story', 'and', 'as', 'inconsistencies', 'are', 'discovered', ',', 'the', 'belief', 'becomes', 'invalidated', '.', 'but', 'the', 'idea', 'that', 'evolutionary', 'theory', '``', 'evolves', ""''"", 'is', 'essentially', 'saying', 'that', 'the', 'theory', 'can', '``', 'change', ""''"", 'to', 'fit', 'the', 'discoveries', 'made', '.', 'in', 'essence', ',', 'evolutionary', 'theory', 'is', 'allowed', 'to', '``', 'change', ""''"", 'its', 'story', 'provided', 'that', 'there', 'is', 'evidence', 'to', 'support', 'a', 'change', '.', 'creationism', 'on', 'the', 'other', 'hand', ',', 'as', 'a', 'belief', 'is', 'based', 'on', 'faith', 'not', 'science', '.', 'it', ""'s"", 'a', 'belief', 'that', 'puts', 'the', 'responsibility', 'of', 'creating', 'life', 'into', 'a', '``', 'creator', ""''"", 'whether', 'that', 'creator', 'is', 'god', ',', 'shiva', ',', 'the', 'force', ',', 'or', 'whatever', 'is', 'not', 'the', 'focal', 'point', '.', 'oddly', 'enough', ',', 'creationism', 'seeks', 'to', 'explain', 'the', 'what', 'i', 'call', 'the', '``', 'moment', ""''"", 'that', 'started', 'it', 'all', '.', 'whereas', 'evolutionary', 'theory', 'seeks', 'to', 'explain', 'our', 'past', 'but', 'not', 'necessary', 'the', 'moment', 'in', 'which', 'it', 'all', 'began', '.', 'after', 'all', 'evolutionary', 'theory', 'states', 'that', 'all', 'life', 'stems', 'from', 'a', 'common', 'ancestor', '.', 'but', 'where', 'did', 'that', 'common', 'ancestor', 'come', 'from', '?', 'in', 'current', 'evolutionary', 'experiments', ',', 'we', 'can', 'see', 'microevolution', 'and', 'a', 'limited', 'degree', 'of', 'macroevolution', '.', 'we', 'can', 'show', 'how', 'a', 'primal', 'soup', 'of', 'chemicals', 'can', 'form', 'basic', 'amino', 'acids', 'given', 'certain', 'conditions', '.', 'we', 'can', 'show', 'how', 'single', 'cell', 'organisms', 'can', 'form', 'into', 'multi', 'cell', 'organisms', '.', 'yet', 'to', 'this', 'day', 'we', 'ca', ""n't"", 'show', 'how', 'basic', 'amino', 'acids', 'can', 'form', 'a', 'single', 'cell', 'organism', '.', 'science', 'can', 'discover', 'and', 'explain', 'a', 'lot', 'of', 'questions', '.', 'yet', 'even', 'now', 'there', 'are', 'questions', 'that', 'science', 'ca', ""n't"", 'fully', 'answer', '.', 'sure', 'science', 'can', 'tell', 'you', 'that', 'as', 'a', 'species', 'your', 'goal', 'is', 'to', 'procreate', 'and', 'ensure', 'the', 'survival', 'of', 'your', 'genes', ',', 'but', 'science', 'ca', ""n't"", 'tell', 'you', 'exactly', 'what', 'is', 'your', 'purpose', 'in', 'life', '.']",7,1,3,Creation
1229,evolution,"['k', ',', 'i', 'believe', 'that', ""'god"", ""'"", 'created', 'and', 'then', 'tweaked', 'via', 'evolution', '?', 'we', 'all', 'find', 'out', 'within', '100', 'years', 'anyways', '...', '.']",7,1,3,Creation
1241,evolution,"['yes', 'i', 'do', '.', 'except', 'better', 'than', 'your', 'description', '.']",7,1,3,Creation
1201,evolution,"['the', 'scientific', 'rigor', 'you', 'mention', 'is', 'not', 'present', 'in', 'evolutionary', 'theory', '.', 'here', ""'s"", 'one', 'example', ':', 'in', 'the', '1800s', ',', 'charles', 'lyell', 'and', 'others', 'came', 'up', 'with', 'dates', 'for', 'the', 'rock', 'strata', '.', 'radiometric', 'dating', 'was', ""n't"", 'invented', 'until', 'the', '1900s', '.', 'when', 'it', 'was', 'invented', ',', 'the', 'techniques', 'were', 'calibrated', 'to', 'match', 'the', 'dates', 'lyell', 'came', 'up', 'with', '.', 'to', 'say', 'that', 'this', 'proves', 'the', 'dates', 'that', 'lyell', 'came', 'up', 'with', 'is', 'a', 'logical', 'fallacy', ',', 'and', 'it', 'sure', 'does', ""n't"", 'sound', 'like', 'true', 'scientific', 'rigor', 'to', 'me', '.']",7,1,3,Creation
1201,evolution,"['god', 'is', 'abstract', '.', 'he', 'does', ""n't"", 'often', 'show', 'himself', '.', 'in', 'general', ',', 'the', 'idea', 'of', 'a', 'god', 'or', 'gods', 'is', 'pretty', 'hard', 'to', 'think', 'about', '.', 'apes', 'are', 'concrete', '.', 'you', 'can', 'see', 'them', '.', 'generally', ',', 'the', 'whole', 'ape', 'concept', 'is', 'easy', 'to', 'get', 'your', 'hands', 'around', '.', 'it', ""'s"", 'funny', 'that', 'the', 'supposedly', 'unsophisticated', 'ancients', 'would', 'all', 'choose', 'to', 'believe', 'in', 'an', 'abstract', 'concept', 'rather', 'than', 'a', 'concrete', 'one', '.', 'if', 'you', 'asked', 'adam', 'where', 'he', 'came', 'from', ',', 'why', 'would', 'he', 'say', '``', 'god', 'must', 'have', 'created', 'me', ',', 'i', ""'ve"", 'seen', 'him', 'around', 'the', 'garden', ""''"", 'instead', 'of', '``', 'i', 'was', 'magically', 'transformed', 'from', 'one', 'of', 'those', 'apes', 'over', 'there', ""''"", '?']",7,1,3,Creation
1201,evolution,"['one', 'of', 'evolution', ""'s"", 'major', 'problems', 'is', 'a', 'moral', 'one', '.', 'evolution', 'states', 'that', 'creatures', 'change', 'over', 'time', '.', 'when', 'a', 'creature', 'is', 'more', 'fit', 'than', 'those', 'around', 'it', ',', 'it', 'takes', 'over', '.', 'as', 'a', 'result', ',', 'the', 'best', 'creature', 'rises', 'to', 'the', 'top', '.', 'it', 'is', 'claimed', 'that', 'all', 'this', 'is', 'in', 'the', 'best', 'interest', 'of', 'the', 'species', '.', 'if', 'that', 'were', 'true', ',', 'it', 'would', 'justify', 'a', 'whole', 'bunch', 'of', 'things', 'that', 'most', 'people', 'disagree', 'with', '.', 'white', 'men', 'kept', 'slaves', 'in', 'the', 'south', ',', 'and', 'slavery', 'stuck', 'around', 'for', 'some', 'time', '.', 'and', 'when', 'the', 'slaves', 'were', 'freed', ',', 'they', 'did', ""n't"", 'free', 'themselves', '-', 'white', 'men', 'from', 'the', 'north', 'did', 'most', 'of', 'the', 'work', '.', 'does', 'this', 'mean', 'that', 'white', 'men', 'were', 'more', 'fit', 'than', 'the', 'slaves', 'and', 'that', 'the', 'plantation', 'owners', 'were', 'justified', 'in', 'keeping', 'slaves', '?', 'there', 'are', 'plenty', 'of', 'other', 'examples', '.', 'terrorists', '(', 'and', 'their', 'american', 'counterparts', ')', ',', 'the', 'darfur', 'conflict', ',', 'feudalism', '...', 'evolution', 'implies', 'that', 'the', 'side', 'with', 'the', 'upper', 'hand', 'deserves', 'to', 'win', '.', 'this', 'post', 'is', ""n't"", 'a', 'very', 'scientific', 'argument', ',', 'i', 'know', ',', 'but', 'i', 'do', ""n't"", 'think', 'i', 'could', 'ever', 'accept', 'the', '``', 'might', 'makes', 'right', ""''"", 'mindset', '.']",7,1,3,Creation
1201,evolution,"['i', 'stand', 'corrected', '-', 'there', 'is', 'rigor', 'in', 'evolutionary', 'research', '.', 'however', ',', 'not', 'all', 'of', 'it', 'is', 'scientific', ',', 'and', 'a', 'lot', 'of', 'it', 'is', 'based', 'on', 'exaggerated', 'facts', ',', 'half-truths', ',', 'and', 'assumptions', '.', 'i', 'mentioned', 'the', 'dates', 'in', 'rock', 'strata', 'for', 'two', 'reasons', '.', 'first', 'of', 'all', ',', 'my', 'post', 'was', 'a', 'reply', 'to', 'burnman', ',', 'who', 'claimed', 'the', 'earth', 'was', 'older', 'than', '10,000', 'years', '.', 'second', ',', 'geology', ',', 'which', 'i', 'concede', 'is', ""n't"", 'the', 'exact', 'same', 'thing', 'as', 'evolutionary', 'theory', ',', 'is', 'still', 'very', 'important', '.', 'evolution', 'requires', 'incredible', 'amounts', 'of', 'time', '-', 'if', 'the', 'proposed', 'periods', 'of', 'time', 'do', ""n't"", 'line', 'up', 'with', 'the', 'strata', 'or', 'the', 'fossil', 'records', 'the', 'strata', 'contain', ',', 'that', ""'s"", 'a', 'pretty', 'big', 'problem', 'with', 'evolution', '.', 'i', 'found', 'the', 'origin', 'of', 'species', 'on', 'wikisource', 'and', 'am', 'reading', 'through', 'it', '.', 'any', 'interesting', 'passages', '?']",7,1,3,Creation
975,evolution,"['unfortunately', ',', 'the', 'title', 'of', 'this', 'discussion', 'is', 'wrong', '.', 'instead', 'of', 'being', 'evolution', 'vs.', 'creationism', ',', 'it', 'should', 'be', ':', 'does', 'god', 'exist', '?', 'creationism', 'and', 'evolution', 'are', 'not', 'exclusionary', '.', 'creationism', 'implies', 'that', 'a', 'higher', 'power', ',', 'a', 'god', ',', 'orchestrated', 'the', 'creation', 'of', 'this', 'planet', 'and', 'its', 'inhabitants', '.', 'evolution', 'may', 'very', 'well', 'have', 'been', 'one', 'of', 'the', 'tools', 'used', 'to', 'accomplish', 'this', '.', 'as', 'to', 'whether', 'god', 'exists', '(', 'however', 'you', 'choose', 'to', 'define', 'god', ')', ',', 'each', 'person', 'has', 'to', 'decide', 'for', 'themselves', '.', 'i', 'look', 'at', 'the', 'world', 'around', 'me', ',', 'the', 'thousands', 'of', 'beautiful', 'plants', ',', 'animals', ',', 'etc', ',', 'and', 'think', 'that', 'their', 'must', 'be', 'a', 'higher', 'power', 'behind', 'it', 'all', '.', 'mathematically', ',', 'it', 'seems', 'like', 'it', 'would', 'take', 'much', 'more', 'than', 'a', 'few', 'billion', 'years', 'for', 'a', 'world', 'to', 'evolve', 'by', 'chance', 'to', 'what', 'we', 'experience', 'today', '.', 'it', 'could', 'take', 'a', 'few', 'billion', 'iterations', 'just', 'for', 'someone', 'to', 'guess', 'my', 'password', '.', 'it', 'does', ""n't"", 'make', 'sense', 'to', 'me', 'that', 'the', 'earth', 'could', 'evolve', 'to', 'what', 'it', 'has', 'become', 'in', 'its', 'short', '(', 'few', 'billion', 'years', '?', ')', 'history', 'by', 'chance', '.', 'more', 'than', 'that', ',', 'my', 'soul', 'tells', 'me', 'there', 'is', 'a', 'god', '.']",7,1,3,Creation
