author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
32,evolution,"['debates', 'are', 'based', 'on', 'convincing', 'evidence', '.', 'there', 'is', 'very', 'little', 'evidence', 'supporting', 'creation', ',', 'while', 'there', 'are', 'massive', 'amounts', 'supporting', 'an', 'evolutionary', 'argument', '.', 'creationism', 'is', 'supported', 'by', 'numerous', 'ancient', 'stories', ',', 'some', 'similar', 'to', 'each', 'other', ',', 'some', 'wildly', 'different', 'from', 'each', 'other', '.', 'but', 'none', 'of', 'these', 'stories', 'are', 'corroborated', 'by', 'any', 'actual', 'evidence', '.', 'since', 'these', 'are', 'very', 'ancient', 'stories', ',', 'they', 'were', 'first', 'told', 'by', 'ancient', 'peoples', ',', 'with', 'far', 'a', 'less', 'sophisticated', 'understanding', 'of', 'the', 'natural', 'and', 'scientific', 'world', '.', 'evolution', 'is', 'not', 'a', 'story', '.', 'it', 'is', 'a', 'scientific', 'theory', ',', 'posited', 'to', 'explain', 'the', 'development', 'of', 'life', 'on', 'earth', '.', 'the', 'theory', 'itself', 'is', 'evolving', 'as', 'new', 'evidence', 'arises', '.', 'certain', 'parts', 'of', 'the', 'theory', 'are', 'perhaps', 'discarded', ',', 'and', 'new', 'parts', 'are', 'added', '.', 'this', 'is', 'how', 'science', 'works', '(', 'ideally', ')', '.', 'we', 'progress', 'towards', 'scientific', 'truth', 'by', 'a', 'series', 'of', 'incremental', 'advances', ',', 'sometimes', 'punctuated', 'by', 'a', 'huge', 'advance', '.', 'the', 'theory', 'of', 'evolution', 'is', 'one', 'such', 'huge', 'advance', '.', 'and', 'now', ',', 'it', 'is', 'experiencing', 'its', 'own', 'incremental', 'advances', '.']",7,0,2,Evolution
74,evolution,"['science', '!', 'we', 'win']",7,0,2,Evolution
448,evolution,"['this', 'is', 'a', 'non-argument', '.', 'the', 'earth', 'is', 'not', '10,000', 'years', 'old', 'and', 'dinosaur', 'bones', 'were', 'not', 'put', 'here', 'to', ""'test"", 'our', 'faith', ""'"", '.', 'religion', 'has', 'been', 'putting', 'forth', 'explanations', 'as', 'to', 'the', 'origins', 'of', 'the', 'universe', 'since', 'humans', 'have', 'even', 'begun', 'to', 'think', 'about', 'it', '.', 'we', 'dont', 'need', 'those', 'old', 'myths', 'anymore', 'about', 'dead', 'gods', 'and', 'fairies', ',', 'humanity', 'has', 'come', 'up', 'with', 'a', 'quantifiable', 'way', 'of', 'testing', 'our', 'hypotheses', '.', 'now', ',', 'i', 'will', 'not', 'sit', 'on', 'my', 'ivory', 'chair', 'and', 'say', 'that', 'science', 'gives', 'absolute', 'facts', ',', '(', 'i', 'dare', 'you', 'creationists', 'do', 'the', 'same', ')', 'it', 'is', 'a', 'process', 'by', 'which', 'we', 'can', 'evaluate', 'data', 'and', 'come', 'up', 'with', 'a', 'better', 'understanding', 'from', 'that', 'process', '.', 'nothing', 'is', 'ever', 'fact', ',', 'but', 'we', 'can', 'come', 'up', 'with', 'a', 'good', 'idea', 'of', 'what', 'information', 'to', 'trust', 'because', 'of', 'scientific', 'rigor', '.', 'thank', 'you', 'and', 'goodnight', '.']",7,0,2,Evolution
21,evolution,"['oh', 'come', 'on', ',', 'are', 'you', 'kidding', 'me', '?', 'are', 'ou', 'trying', 'to', 'tell', 'me', 'that', 'a', 'magical', 'man', 'who', 'lives', 'in', 'the', 'sky', 'and', 'is', 'invisible', 'except', 'for', 'people', 'that', 'have', 'died', 'can', 'see', 'him', 'in', 'the', 'magic', 'white', 'puffy', 'village', 'called', 'heaven', '?', 'i', 'hardly', 'believe', 'this', ',', 'especially', 'since', 'if', 'creation', 'is', 'how', 'we', 'were', 'made', ',', 'how', 'was', '``', 'god', ""''"", 'made', '?', 'obviously', 'evolution', 'makes', 'more', 'sense', '.', 'besides', ',', 'if', 'adam', 'and', 'eve', 'were', 'the', 'first', 'people', 'on', 'earth', ',', 'who', 'were', 'their', 'parents', '?', 'were', 'they', 'brother', 'and', 'sister', '?', 'does', ""n't"", 'the', 'bible', 'say', 'something', 'about', 'how', 'having', 'sex', 'with', 'your', 'sibling', 'is', 'wrong', '?', 'do', 'i', 'smell', 'contradiction', '?', 'i', 'think', 'i', 'do', '...']",7,0,2,Evolution
510,evolution,"['the', 'problem', 'with', 'supporting', 'any', 'religiously', 'founded', 'theory', 'against', 'science', 'is', ':', 'which', 'religion', 'do', 'you', 'believe', '?', 'chiristianity', 'teaches', 'one', 'thing', ',', 'hinduism', 'teaches', 'another', ',', 'odinism', 'teaches', 'another', 'and', 'the', 'peoples', 'of', 'various', 'african', 'tribes', 'believe', 'differently', 'to', 'each', 'other', '.', 'why', 'is', 'any', 'one', 'view', 'on', 'how', 'man', 'was', 'created', 'more', 'valid', 'than', 'any', 'other', '?', 'that', ""'s"", 'right', ',', 'it', 'is', ""n't"", '.', 'evolution', 'is', 'a', 'plausible', 'theory', ',', 'supported', 'by', 'boundless', 'evidence', 'that', 'seems', 'to', 'have', 'very', 'few', 'chinks', '.', 'i', 'know', 'faith', 'is', 'not', 'meant', 'to', 'be', 'based', 'on', 'evidence', ',', 'but', 'i', 'ca', ""n't"", 'see', 'why', 'in', 'the', 'face', 'of', 'such', 'a', 'huge', 'amount', 'of', 'evidence', 'to', 'the', 'contrary', 'faith', 'is', 'still', 'used', 'as', 'a', 'solve-all', 'to', 'a', 'non-existant', 'problem', '.', 'we', ""'re"", 'pretty', 'sure', 'where', 'men', 'came', 'from', 'now', ',', 'so', 'there', ""'s"", 'no', 'need', 'to', 'invoke', 'the', 'sky', 'daddy', ',', 'the', 'ever', 'shrinking', ""'god"", 'of', 'the', 'gaps', ""'"", 'in', 'this', 'instance', '.']",7,0,2,Evolution
1221,evolution,"['it', 'is', 'important', 'to', 'understand', 'that', 'evolution', 'is', 'both', 'a', 'fact', 'and', 'a', 'theory', '.', 'the', 'current', 'theory', ',', 'based', 'on', 'darwin', ""'s"", 'research', ',', 'describes', 'the', 'facts', 'of', 'evolution', ',', 'as', 'based', 'on', 'verifiable', 'evidence', '.', 'if', 'another', 'theory', 'comes', 'along', 'to', 'better', 'explain', 'the', 'mechanism', '(', 's', ')', 'of', 'evolution', ',', 'it', 'would', ""n't"", 'nullify', 'the', 'fact', 'that', 'evolution', 'occurs', ',', 'things', 'will', 'continue', 'to', 'evolve', '.', 'a', 'great', 'parrallel', 'is', 'einstein', ""'s"", 'theory', 'of', 'gravity', 'replacing', 'newton', ""'s"", '-', 'gravity', 'did', ""n't"", 'cease', 'to', 'function', 'or', 'behave', 'differently', 'when', 'the', 'theory', 'was', 'updated', 'based', 'on', 'our', 'improved', 'understanding', '-', 'that', ""'s"", 'what', 'is', 'great', 'about', 'science', '.', 'it', 'is', 'open', 'to', 'skepticism', ',', 'looks', 'to', 'be', 'challenged', 'and', 'replicated', 'and', 'verified', '-', 'but', 'all', 'the', 'while', 'basing', 'everything', 'on', 'evidence', '.', 'that', 'is', 'one', 'thing', 'creationism', 'lacks', '.', 'and', 'to', 'believe', 'in', 'something', 'for', 'which', 'there', 'is', 'no', 'evidence', 'or', 'proof', 'is', 'just', 'intellectual', 'dishonesty', '.']",7,0,2,Evolution
1221,evolution,"['i', 'would', 'be', 'interested', 'to', 'see', 'you', 'cite', 'your', 'references', 'for', 'your', 'comment', 'that', '``', 'a', 'large', 'amount', 'of', 'science', 'communities', 'believe', 'in', 'a', 'creationist', 'version', 'of', 'evolution', '.', ""''"", 'i', 'would', 'wager', 'that', 'not', 'a', 'single', 'evoutionary', 'biologist', 'believes', 'that', '.', 'it', ""'s"", 'important', 'to', 'understand', 'that', 'evolution', 'is', 'not', 'an', 'explanation', 'for', 'the', 'creation', 'of', 'the', 'universe', '.', 'that', 'is', 'still', 'a', 'great', 'mystery', ',', 'but', 'we', ""'re"", 'making', 'progress', 'everyday', 'via', 'science', 'in', 'our', 'understanding', 'of', 'the', 'origins', 'of', 'the', 'universe', '.', 'just', 'because', 'science', 'ca', ""n't"", 'explaing', 'something', 'now', ',', 'does', ""n't"", 'mean', 'a', 'supernatural', 'being', 'can', '.', 'there', 'have', 'been', 'many', 'things', 'over', 'the', 'centuries', 'that', 'were', 'once', 'unknown', 'or', 'misunderstood', 'that', 'science', 'eventually', 'was', 'able', 'to', 'explain', '(', 'the', 'source', 'of', 'lightning', ',', 'gravity', ',', 'what', 'the', 'sun', 'is', 'made', 'of', 'etc', '.', ')', 'and', 'just', 'because', 'you', 'need', 'to', 'lean', 'on', 'a', 'supernatural', 'explanation', 'for', 'something', 'because', 'science', 'has', 'yet', 'to', 'explain', 'it', 'or', 'it', ""'s"", 'hard', 'for', 'you', 'to', 'believe', ',', 'does', ""n't"", 'make', 'that', 'supernatural', 'explanation', 'true', '.', 'provide', 'evidence', 'to', 'support', 'that', 'belief', ',', 'and', 'i', ""'ll"", 'change', 'my', 'stance', ':', ')']",7,0,2,Evolution
812,evolution,"['define', '``', 'order', 'and', 'detail', '.', ""''"", 'existence', 'is', ""n't"", 'a', 'bmw', '.', 'you', 'are', 'falling', 'for', 'the', 'old', ""'watch"", 'maker', ""'"", 'argument', '.', 'you', 'fail', 'to', 'recognize', 'the', 'significance', 'of', 'self', 'replicating', 'systems', 'within', 'a', 'naturally', 'selecting', 'environment', '.', 'a', 'good', 'read', ':', '``', 'the', 'selfish', 'gene', ""''"", 'by', 'richard', 'dawkins', '.', 'not', 'as', 'aggressive', 'as', 'his', 'more', 'recent', '``', 'the', 'god', 'dilusion', ',', ""''"", 'and', 'equally', 'well', 'written', '.']",7,0,2,Evolution
1203,evolution,"['your', 'main', 'point', 'is', 'irrelevant', '.', 'if', 'creationism', 'just', 'explains', 'the', '``', 'moment', 'that', 'started', 'it', 'all', ',', ""''"", 'then', 'it', 'is', 'compatible', 'with', 'evolutionary', 'theory', '.', 'this', 'is', 'because', 'evolutionary', 'theory', 'is', 'a', 'theory', 'concerning', 'the', 'origins', 'of', 'complex', 'organisms', 'that', 'we', 'find', 'today', '.', 'it', 'is', 'not', 'a', 'theory', 'about', 'the', 'origins', 'of', 'life', 'in', 'general', ',', 'and', 'it', 'is', 'certainly', 'not', 'a', 'theory', 'about', 'the', 'origins', 'of', 'simple', 'microorganisms', '.', '(', 'it', 'is', 'also', 'not', 'a', 'theory', 'about', 'the', 'origins', 'of', 'the', 'universe', '.', ')', 'evolutionary', 'theory', 'is', 'perfectly', 'compatible', 'with', 'the', 'claim', 'that', 'some', 'divine', 'creator', '``', 'touched', ""''"", 'some', 'primordial', 'bog', 'and', 'out', 'sprang', 'a', 'batch', 'of', 'microorganisms', '.', 'evolutionary', 'theory', 'is', 'only', 'committed', 'to', 'saying', 'that', 'life', 'as', 'we', 'know', 'it', 'today', 'is', 'the', 'result', 'of', 'these', 'simpler', 'organisms', 'being', 'subject', 'to', 'mutation', 'and', 'selection', 'pressure', '.', 'i', 'do', ""n't"", 'see', 'any', 'urgent', 'need', 'to', 'address', 'your', 'claim', 'that', '``', 'evolutionary', 'theory', ""''"", 'is', 'problematic', 'because', 'it', 'gets', 'to', 'change', 'its', 'story', 'whenever', 'it', 'runs', 'into', 'trouble', ',', 'because', 'it', 'is', ""n't"", 'clear', 'to', 'me', 'that', 'you', 'understand', 'what', 'evolutionary', 'theory', 'is', '.', 'but', 'i', 'will', 'say', 'something', 'about', 'it', 'briefly', '.', '``', 'evolutionary', 'theory', ""''"", 'is', 'a', 'general', 'theory', 'about', 'how', 'life', 'as', 'we', 'know', 'it', 'came', 'about', ',', 'and', 'there', 'is', 'no', 'real', 'evidence', 'against', 'it', '.', 'you', 'should', 'think', 'of', 'evolutionary', 'theory', 'as', 'being', 'analogous', 'to', 'the', 'scientific', 'view', 'that', 'matter', 'is', 'made', 'up', 'of', 'smaller', 'things', '(', 'e.g.', ',', 'atoms', ')', '.', 'lots', 'of', 'theories', 'about', 'atoms', 'have', 'been', 'proposed', ',', 'and', 'most', 'have', 'been', 'false', '.', 'but', 'this', 'does', ""n't"", 'refute', 'the', 'general', 'theory', 'that', 'matter', 'is', 'made', 'up', 'of', 'smaller', 'things', '.', 'similarly', 'for', 'evolutionary', 'theory', '.', 'my', 'guess', 'is', 'that', 'you', 'are', 'confusing', 'some', 'particular', 'theory', 'about', 'the', 'origins', 'of', 'some', 'particular', 'organism', '(', 'or', 'part', 'of', 'an', 'organism', ')', 'with', 'evolutionary', 'theory', ',', 'but', 'that', 'is', 'a', 'mistake', '.']",7,0,2,Evolution
1221,evolution,"['it', ""'s"", 'interesting', 'that', 'you', 'mention', 'charles', 'lyell', 'when', 'arguing', 'for', 'the', 'case', 'of', 'creationism', ',', 'as', 'he', 'was', 'a', 'close', 'personal', 'friend', 'of', 'darwin', 'and', 'was', 'one', 'of', 'the', 'first', 'prominent', 'scientists', 'to', 'support', 'darwin', ""'s"", 'book', '``', 'the', 'origin', 'of', 'species', ""''"", '(', 'toos', ')', '-', 'although', 'he', 'never', 'fully', 'accepted', 'the', 'idea', 'of', 'natural', 'selection', '.', 'lyell', 'even', 'offered', 'an', 'endorsement', 'of', 'toos', 'in', 'one', 'of', 'his', 'own', 'books', '.', 'as', 'for', 'the', 'suggestion', 'that', 'there', 'is', 'no', 'scientific', 'rigor', 'in', 'evolutionary', 'theory', '-', 'have', 'you', 'read', 'toos', '?', 'are', 'you', 'aware', 'that', 'scientists', 'and', 'others', 'have', 'been', 'trying', '(', 'rigorously', '?', ')', 'to', 'refutre', 'or', 'rebuff', 'darwin', ""'s"", 'theory', 'for', 'the', 'past', '150+', 'years', 'and', 'have', 'yet', 'to', 'be', 'able', 'to', 'do', 'it', '?', 'and', 'p.s', '.', '-', 'dating', 'rock', 'strata', 'is', 'not', 'evolutionary', 'theory', ',', 'or', 'even', 'related', '.', 'that', 'would', 'be', 'the', 'field', 'of', 'geology', '-', 'evolutionary', 'theory', 'was/is', 'the', 'cornerstone', 'of', 'the', 'field', 'of', 'biology', 'as', 'we', 'know', 'it', 'today', '.']",7,0,2,Evolution
