author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
797,"""gun control""","['i', 'guess', 'it', 'all', 'comes', 'back', 'to', 'revolutions', '.', 'revolutions', 'are', 'possible', 'without', 'guns', ',', 'but', 'stoping', 'a', 'military', 'coup', 'without', 'guns', 'is', 'next', 'to', 'impossible', '.', 'guns', 'are', 'like', 'a', 'seatbelt', ',', 'you', 'dont', 'have', 'one', 'because', 'you', 'plan', 'on', 'having', 'an', 'accident', ',', 'you', 'have', 'one', 'incase', 'of', 'an', 'accident', '.', 'guns', 'are', 'incase', 'govt', 'gets', 'out', 'of', 'control', '.']",9,0,3,"""Citizens should have the right to own guns"""
1389,"""gun control""","['let', 'me', 'start', 'off', 'by', 'saying', 'that', 'i', 'do', ""n't"", 'believe', 'all', 'citizens', 'should', 'have', 'guns', '.', 'obviously', ',', 'there', 'are', 'those', 'individuals', 'who', 'are', 'dangerous', '(', 'criminals', ')', 'and', 'thus', 'should', 'be', 'denied', 'access', '.', 'however', ',', 'that', 'does', ""n't"", 'mean', 'that', 'all', 'people', 'should', 'not', 'be', 'allow', 'to', 'have', 'firearms', '.', 'i', 'also', 'do', ""n't"", 'believe', 'that', 'just', 'because', 'the', 'constitution', 'says', 'we', 'should', 'have', 'guns', ',', 'we', 'should', '.', 'the', 'constitution', 'is', 'a', 'changing', 'document', ',', 'and', 'all', 'policies', 'are', 'not', 'written', 'in', 'stone', '.', 'so', 'why', 'should', 'guns', 'be', 'allowed', '?', 'the', 'answer', 'is', 'two', 'fold', ':', 'recreation', 'and', 'protection', '.', 'hunting', 'is', 'still', 'an', 'enormously', 'popular', 'sport', ',', 'and', 'people', 'should', 'have', 'the', 'ability', 'to', 'defend', 'themselves', 'if', 'the', 'need', 'arises', '.']",9,0,3,"""Citizens should have the right to own guns"""
1580,"""gun control""","['to', 'make', 'use', 'of', 'the', 'cliche', ':', 'make', 'guns', 'illegal', ',', 'and', 'only', 'criminals', 'will', 'have', 'guns', '.', 'the', 'harder', 'it', 'is', 'to', 'obtain', 'a', 'gun', ',', 'the', 'more', 'common', 'that', 'untraceable', ',', 'illegally', 'obtained', 'guns', 'will', 'be', '.', 'there', 'is', 'no', 'way', 'to', 'avoid', 'that', 'particular', 'eventuality', '.', 'i', 'would', 'love', 'to', 'see', 'a', 'heavily', 'enforced', 'registration', 'system', ',', 'where', 'a', 'gun', 'could', 'be', 'easily', 'obtained', ',', 'but', 'could', 'be', 'identified', 'and', 'traced', 'back', 'to', 'the', 'registered', 'owner', '.', 'add', 'a', 'little', 'responsibility', 'to', 'gun', 'ownership', ',', 'in', 'a', 'way', '.', 'i', 'know', 'there', 'are', 'some', 'privacy', 'concerns', 'with', 'a', 'giant', 'police', 'rolodex', 'of', 'gun', 'owners', ',', 'but', 'privacy', 'invasion', 'is', 'a', 'different', 'subject', 'entirely', '.', 'guns', 'are', 'a', 'legitimate', 'form', 'of', 'recreation', 'and', 'protection', '.', 'i', 'once', 'heard', 'it', 'described', 'to', 'me', 'in', 'a', 'way', 'that', 'made', 'wonderful', 'sense', ',', 'every', 'kid', 'learns', 'stop', 'drop', 'and', 'roll', ',', 'but', 'no', 'one', 'has', 'seriously', 'considered', 'teaching', 'gun', 'safety', 'in', 'school', '.', 'what', 'is', 'more', 'likely', ':', 'a', 'child', 'catching', 'fire', 'spontaneously', 'in', 'a', 'situation', 'where', 'rolling', 'around', 'is', 'an', 'option', ',', 'or', 'encountering', 'a', 'poorly', 'hidden', 'gun', 'as', 'a', 'child', '?', 'many', 'deaths', 'can', 'be', 'saved', 'by', 'education', ',', 'not', 'just', 'gun', 'control', 'law', '.']",9,0,3,"""Citizens should have the right to own guns"""
1580,"""gun control""","['``', 'america', ',', 'as', 'a', 'result', 'has', 'a', 'murder', 'rate', '10', 'times', 'that', 'of', 'most', 'civilized', 'countries', '.', ""''"", 'sort', 'of', 'a', 'total', 'lie', ',', 'right', 'there', '.', 'the', 'international', 'weighted', 'murder', 'rate', 'is', 'about', '.1', 'per', 'thousand', ',', 'with', 'that', 'source', 'listing', 'our', 'murder', 'rate', 'at', '.0428', 'per', 'thousand', '.', 'this', 'puts', 'us', 'at', '#', '24', 'on', 'the', 'list', 'of', '62.', 'we', 'do', 'have', 'murder', 'rates', 'ten', 'times', 'that', 'of', 'only', 'two', 'nations-', 'saudi', 'arabia', 'and', 'qatar', '.', 'i', 'sort', 'of', 'attribute', 'that', 'to', 'their', 'stricter', 'penal', 'code', ',', 'though', '.', 'interestingly', ',', 'civilized', 'nations', 'like', 'the', 'united', 'kingdom', ',', 'finland', ',', 'denmark', ',', 'and', 'new', 'zealand', 'outpace', 'us', 'in', 'crime', '.', 'i', 'am', 'not', 'saying', 'that', 'guns', 'stop', 'crime', ',', 'but', 'if', 'i', 'ca', ""n't"", 'say', 'that', ',', 'then', 'you', 'ca', ""n't"", 'claim', 'that', 'guns', 'cause', 'murder', '.']",9,0,3,"""Citizens should have the right to own guns"""
1580,"""gun control""","['well', ',', 'you', 'do', 'have', 'a', 'very', 'low', 'murder', 'rate', 'on', 'an', 'international', 'scale', ',', 'but', 'you', 'seem', 'to', 'hit', 'a', 'respectable', 'third', 'most', 'rapes', 'per', 'capita', '.', 'that', ""'s"", 'nothing', 'though', '.', 'this', 'source', 'says', 'that', 'australia', 'ranks', 'as', '#', '1', 'in', 'both', 'burglaries', 'and', 'car', 'thefts', 'per', 'capita', '(', 'take', 'that', ',', 'dominica', '!', ')', '.', 'once', 'again', ',', 'these', 'stats', 'may', 'not', 'have', 'a', 'direct', 'correlation', 'to', 'gun', 'ownership', ',', 'but', 'if', 'anything', 'they', 'argue', 'in', 'favor', 'of', 'responsible', 'gun', 'owners', ',', 'not', 'against', 'them', '.', '(', 'http', ':', '//www.nationmaster.com', ')']",9,0,3,"""Citizens should have the right to own guns"""
375,"""gun control""","['the', 'time', 'between', 'shots', 'is', 'irrelevant', '.', 'the', 'contitutinal', 'amendment', 'was', 'written', 'right', 'out', 'of', 'a', 'revolution', '.', 'having', 'guns', 'tells', 'the', 'government', 'that', 'they', 'can', 'not', 'trample', 'on', 'your', 'rights', 'without', 'fear', 'of', 'reprisal', '.', 'it', 'tells', 'criminals', 'the', 'same', 'thing', '.']",9,0,3,"""Citizens should have the right to own guns"""
921,"""gun control""","['it', 'is', 'necessary', 'in', 'order', 'to', 'keep', 'our', 'crooked', 'politicians', 'straight', '.', 'how', 'dare', 'will', 'a', 'tyrant', 'plunder', 'citizens', 'if', 'those', 'citizens', 'are', 'armed', '?', 'plus', ',', 'statistics', 'shows', 'that', 'law', 'abiding', 'citizens', 'do', 'not', 'run', 'around', 'with', 'their', 'guns', 'shooting', 'at', 'people', '.', 'states', 'that', 'have', 'many', 'restrictions', 'on', 'guns', 'do', 'not', 'show', 'that', 'the', 'crime', 'in', 'their', 'jurisdiction', 'declined', ',', 'in', 'fact', 'they', 'have', 'increased', '.', 'if', 'you', 'were', 'a', 'criminal', ',', 'would', ""n't"", 'you', 'be', 'glad', 'that', 'citizens', 'are', 'unarmed', '?', 'if', 'some', 'criminal', 'abuses', 'his', 'right', ',', 'it', 'is', 'not', 'logical', 'to', 'prohibit', 'millions', 'of', 'law', 'abiding', 'citizens', 'from', 'carrying', 'a', 'weapon', 'just', 'because', 'of', 'the', 'few', 'screwed', 'up', 'incompetent', 'criminals', '.']",9,0,3,"""Citizens should have the right to own guns"""
384,"""gun control""","['actually', ',', 'in', 'america', 'one', 'can', 'never', 'underestimate', 'the', 'power', 'of', 'drunken', 'hillbillies', '.', 'if', 'the', 'government', 'tried', 'to', 'impose', 'a', 'dictatorship', 'upon', 'us', ',', 'they', 'would', 'not', 'be', 'able', 'to', 'defeat', 'the', 'vast', 'number', 'of', 'moon', 'shining', 'hillbillies', 'in', 'states', 'like', 'texas', '(', 'mostly', 'because', 'these', 'democracy-loving', 'hillbillies', 'comprise', 'the', 'military', ')', '.', 'for', 'example', ',', 'my', 'neighbor', 'across', 'the', 'street', 'packs', 'an', 'm-16', ',', 'and', 'he', 'makes', 'our', 'street', 'the', 'safest', 'in', 'town', '.', 'the', 'main', 'purpose', 'for', 'civilians', 'owning', 'guns', ',', 'however', ',', 'is', 'not', 'to', 'overthrow', 'a', 'coup', ',', 'but', 'in', 'self', 'defense', '.', 'were', 'the', 'government', 'to', 'issue', 'complete', 'gun', 'control', ',', 'this', 'would', 'not', 'stop', 'criminals', '(', 'who', 'mostly', 'get', 'their', 'guns', 'off', 'the', 'street', ')', 'and', 'would', 'only', 'limit', 'the', 'flow', 'of', 'firearms', 'to', 'patriotic', ',', 'law-abiding', 'citizens', ',', 'therefore', 'making', 'it', 'that', 'much', 'harder', 'to', 'defend', 'themselves', '.']",9,0,3,"""Citizens should have the right to own guns"""
384,"""gun control""","['however', ',', 'for', 'every', 'phsychopath', 'with', 'such', 'malicious', 'intent', 'there', 'are', 'a', 'dozen', 'patriotic', ',', 'lifesaving', 'rednecks', 'packing', 'm-16', ""'s"", 'to', 'defend', 'those', 'people', 'in', 'the', 'street', '.']",9,0,3,"""Citizens should have the right to own guns"""
899,"""gun control""","['unfortuately', 'the', 'world', 'works', 'this', 'way', ',', 'a', 'person', 'with', 'a', 'gun', 'has', 'the', 'advantage', '(', 'which', 'could', 'be', 'good', 'or', 'bad', ')', 'but', 'if', 'a', 'person', 'is', 'defending', 'his', 'home', ',', 'a', 'knife-fight', 'is', 'up', 'in', 'the', 'air', 'anyone', 'could', 'win', '.']",9,0,3,"""Citizens should have the right to own guns"""
