author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
2054,immigration,"['inmigrants', 'should', 'be', 'given', 'rights', 'but', 'only', 'after', 'they', 'have', 'given', 'saomething', 'back', 'to', 'the', 'place', 'they', 'have', 'been', 'living', 'at', ',', 'for', 'example', ',', 'military', 'service', ',', 'charity', 'services', ',', 'law', 'enforcement', ',', 'enforcing', 'education', 'and', 'cultural', 'growth', '.', 'anything', 'that', 'can', 'be', 'recognized', 'as', 'a', 'real', 'contributioin', '.', 'of', 'course', 'any', 'person', 'that', 'doesnâ´t', 'actually', 'give', 'anything', 'can', 'not', 'demand', 'anything', 'back', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
1077,immigration,"['absolutely', '.', 'if', 'they', 'contributed', 'a', 'tangible', 'service', 'to', 'society', 'then', 'they', 'deserve', 'some', 'sort', 'of', 'reward', 'for', 'doing', 'so', '.', 'even', 'if', 'they', 'immigrated', 'to', 'the', 'us', 'illegally', ',', 'it', ""'s"", 'not', 'their', 'fault', 'the', 'us', 'naturalization', 'process', 'is', 'so', 'long', 'and', 'difficult', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
1068,immigration,"['they', 'are', 'already', 'a', 'vital', 'part', 'of', 'our', 'economy', ',', 'and', 'in', 'many', 'cases', 'have', 'all', 'their', 'roots', 'in', 'this', 'country', '.', 'if', 'people', 'want', 'to', 'limit', 'or', 'prevent', 'new', 'immigration', '(', 'legal', 'or', 'illegal', ')', ',', 'there', 'may', 'be', 'valid', 'reasons', 'to', 'do', 'so', ',', 'but', 'turning', 'a', 'blind', 'eye', 'to', 'people', 'for', 'years', 'and', 'then', 'suddenly', 'kicking', 'them', 'out', 'of', 'the', 'country', 'is', 'inhumane', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
2054,immigration,"['and', 'as', 'for', 'illegal', 'inmigration', 'i', 'think', 'that', 'the', 'key', 'to', 'stop', 'it', 'is', 'assist', 'the', 'home', 'countries', 'of', 'the', 'inmigrants', 'so', 'that', 'they', 'donâ´t', 'search', 'for', 'a', 'way', 'of', 'subsistence', 'in', 'other', 'places', '.', 'but', 'i', 'donâ´t', 'mean', 'give', 'money', 'away', ',', 'that', 'only', 'generates', 'corruption', 'and', 'inefficient', 'governments', ',', 'i', 'mean', 'help', 'them', 'to', 'find', 'alternatives', 'for', 'developing', 'their', 'economies', ',', 'specially', 'if', 'theyâ´re', 'rural', 'economies', ',', 'that', 'way', 'you', 'donâ´t', 'help', 'only', 'one', 'inmigrant', ',', 'you', 'help', 'an', 'entirer', 'nation', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
2054,immigration,"['i', 'actually', 'believe', 'that', 'itâ´s', 'unfair', 'not', 'playing', 'by', 'the', 'rules', ',', 'but', 'what', 'if', 'you', 'could', 'make', 'some', 'arrangements', 'for', 'people', 'that', 'give', 'a', 'lot', 'to', 'your', 'community', ',', 'not', 'only', 'to', 'your', 'economy', ',', 'wouldnâ´t', 'you', 'endorse', 'that', '?', 'for', 'example', ',', 'look', 'at', 'european', 'soccer', 'teams', ',', 'the', 'finest', 'ones', 'offer', 'assistance', 'to', 'their', 'players', 'so', 'that', 'they', 'can', 'be', 'a', 'part', 'of', 'their', 'corresponding', 'countries', ',', 'like', 'rafael', 'marquez', 'in', 'barcelona', '.', 'of', 'course', ',', 'on', 'the', 'other', 'side', ',', 'if', 'they', 'donâ´t', 'give', 'anything', 'to', 'their', '``', 'team', ""''"", ',', 'how', 'could', 'they', 'expect', 'to', 'get', 'anything', 'back', '.', 'again', 'to', 'sports', ',', 'what', 'if', 'you', 'could', 'get', 'the', 'best', 'baseball', 'player', 'in', 'the', 'world', ',', 'but', 'couldnâ´t', 'get', 'him', 'just', 'because', 'heâ´s', 'cuban', '?', 'and', 'besides', ',', 'most', 'countries', 'are', 'formed', 'of', 'inmigrants', '.', 'america', 'was', '``', 'founded', ""''"", 'by', 'pilgrims', 'that', 'took', 'over', 'native', 'americansâ´', 'lands', '.', 'if', 'they', 'were', 'rejected', 'back', 'then', ',', 'we', 'might', 'be', 'living', 'in', 'some', 'sort', 'of', 'medieval', 'age', 'right', 'now', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
1299,immigration,"['i', 'do', ""n't"", 'believe', 'in', 'amnesty', ',', 'per', 'se', ',', 'but', 'a', 'defined', 'path', 'to', 'citizenship', 'for', 'people', 'that', 'live', 'in', 'america', '?', 'of', 'course', '!', 'without', 'immigrants', ',', 'america', 'would', ""n't"", 'exist', '.', 'the', 'glory', 'of', 'america', 'is', 'its', 'melting', 'pot', '!', 'and', 'if', 'your', 'problem', 'is', 'just', 'that', 'the', 'ones', 'now', 'tend', 'to', 'be', 'illegal', ',', 'as', 'opposed', 'to', 'the', 'past', ',', 'you', ""'re"", 'forgetting', 'that', 'an', 'awful', 'lot', 'of', 'people', 'at', 'ellis', 'island', 'were', ""n't"", 'legal', ',', 'either', '.', '(', 'the', 'derogatory', 'term', 'for', 'italian', 'americans', ',', '``', 'wop', ""''"", 'stands', 'for', 'with', 'out', 'papers', ',', 'because', 'they', 'were', 'coming', 'here', 'illegally', '.', ')', 'but', 'whether', 'or', 'not', 'you', 'agree', 'with', 'the', 'idea', 'of', 'immigration', ',', 'you', ""'ve"", 'got', 'to', 'admit', 'that', 'these', 'people', 'are', 'here', ',', 'now', '.', 'it', ""'s"", 'not', 'only', 'inhumane', 'to', 'kick', 'them', 'out', ',', 'it', ""'s"", 'impractical', '.', 'they', ""'re"", 'already', 'living', 'in', 'the', 'shadows', '.', 'what', 'are', 'you', 'going', 'to', 'do', ',', 'make', 'a', 'mandatory', 'citizenship', 'card', 'and', 'check', 'everyone', '?', 'these', 'people', 'are', 'here', ',', 'and', 'changing', 'our', 'economy', '(', 'if', 'they', ""'re"", 'not', 'registered', ',', 'they', 'do', ""n't"", 'have', 'to', 'be', 'paid', 'minimum', 'wage', '...', ')', '.', 'these', 'people', 'are', 'here', ',', 'and', 'they', ""'re"", 'being', 'abused', '.', 'the', 'solution', 'for', 'both', 'problems', 'is', 'making', 'them', 'citizens', '.', 'should', 'they', 'just', 'be', 'given', 'citizenship', 'rights', 'with', 'a', 'snap', 'of', 'the', 'fingers', '?', 'no', ',', 'of', 'course', 'not', '.', 'american', 'citizenship', 'should', 'be', 'earned', '.', 'they', 'should', 'be', 'enrolled', 'in', 'the', 'same', 'programs', 'that', 'legal', 'immigrants', 'are', 'in', ',', 'to', 'learn', 'about', 'the', 'constitution', ',', 'our', 'history', ',', 'etc', '.', '(', 'come', 'to', 'think', 'about', 'it', ',', 'this', 'should', 'be', 'mandatory', 'for', 'all', 'voters', ',', 'not', 'just', 'immigrants', '.', ')']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
2270,immigration,"['first', 'of', 'all', 'it', ""'s"", 'bs', 'to', 'refer', 'to', 'human', 'beings', 'as', '``', 'illegal', '.', ""''"", 'even', 'if', 'you', 'think', 'someone', 'broke', 'the', 'law', ',', 'why', 'ca', ""n't"", 'you', 'say', 'they', 'illegally', 'immigrated', ',', 'not', 'that', 'they', 'are', 'an', 'illegal', 'immigrant', '.', 'the', 'action', 'is', 'what', 'is', 'illegal', ',', 'not', 'the', 'person', '.', 'secondly', ',', 'comparing', 'all', 'documented', 'immigrants', 'against', 'all', 'undocumented', 'immigrants', 'is', 'not', 'a', 'fair', 'comparison', '.', 'take', 'a', 'look', 'at', 'the', 'immigration', 'laws', 'in', 'the', 'u.s.', 'the', 'system', 'is', 'and', 'always', 'has', 'been', 'slanted', 'favorable', 'toward', 'eastern', 'europeans', '.', 'the', 'caps', 'placed', 'make', 'it', 'near', 'impossible', 'for', 'someone', 'from', 'latin', 'america', 'to', 'immigrate', 'legally', 'without', 'a', '15+', 'year', 'waiting', 'period', '.', 'the', 'quotas', 'that', 'are', 'set', 'and', 'who', 'are', 'allowed', 'to', 'take', 'them', 'are', 'ridiculous', '.', 'third', ',', 'why', 'do', 'you', 'make', 'the', 'assumption', 'that', 'just', 'because', 'something', 'is', 'illegal', 'it', 'is', 'wrong', '?', 'what', 'authority', 'do', 'we', 'have', 'to', 'draw', 'an', 'invisible', 'line', 'arbitrarily', 'in', 'the', 'sand', 'and', 'say', 'that', 'those', 'on', 'this', 'side', 'of', 'the', 'line', 'are', 'entitled', 'to', 'human', 'rights', 'and', 'those', 'on', 'the', 'other', 'side', 'are', 'not', '.', 'they', 'are', 'not', 'equal', 'to', 'us', 'because', 'they', 'were', 'born', 'on', 'the', 'other', 'side', 'of', 'an', 'invisible', 'line', '.', 'it', ""'s"", 'nuts', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
2270,immigration,"['that', 'is', 'an', 'absurd', 'metaphor', '.', 'by', 'this', 'logic', 'every', 'full-born', 'citizen', 'was', 'born', 'in', 'your', 'house', 'and', 'somehow', 'you', 'do', ""n't"", 'have', 'to', 'take', 'care', 'of', 'all', 'of', 'them', '.', 'every', 'citizen', 'who', 'stayed', 'past', 'their', 'limit', 'on', 'a', 'visa', 'broke', 'into', 'your', 'house', ',', 'but', 'you', 'took', 'care', 'of', 'them', 'and', 'then', 'eventually', 'you', 'told', 'them', 'they', 'could', 'stay', '.', 'it', 'is', 'really', 'ignorant', 'to', 'widdle', 'this', 'down', 'to', 'an', 'individual', 'basis', '.', 'despite', 'your', 'ridiculous', 'metaphor', ',', 'this', 'country', 'is', 'not', 'private', 'property', 'and', 'if', 'you', 'want', 'to', 'liken', 'it', 'to', 'a', 'house', ',', 'it', 'is', 'a', 'house', 'with', '300', 'million', 'people', 'living', 'in', 'it', 'already', '.', 'those', 'protesters', 'you', 'are', 'talking', 'about', 'already', 'live', 'in', 'the', 'house', '.', 'the', 'police', 'you', 'are', 'calling', 'live', 'in', 'the', 'house', 'too', '.']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
334,immigration,"['first', 'of', 'all', ',', 'not', 'every', 'immigrant', 'has', 'the', 'money', 'to', 'do', 'the', 'legal', 'process', 'to', 'get', 'amnesty', 'or', 'anything', 'of', 'that', 'matter', 'next', 'time', 'you', 'hear', 'about', 'a', 'child', 'who', 'had', 'came', 'here', 'illegally', 'to', 'have', 'an', 'education', 'or', 'so', 'their', 'family', 'wo', ""n't"", 'live', 'in', 'poverty', ',', 'spit', 'in', 'their', 'face', 'and', 'tell', 'them', 'they', 'are', 'worthless', 'because', 'they', 'did', ""n't"", 'come', 'here', 'legally', 'and', 'now', 'all', 'they', 'deserve', 'is', 'to', 'go', 'back', 'home', 'in', 'poverty', 'just', 'because', 'they', 'did', ""n't"", 'come', 'here', 'the', 'right', 'way']",16,0,1,"""Illegal Inmigrants should be given amnesty or citizenship rights after a contribution or recognized"""
828,immigration,"['i', 'personally', 'feel', 'that', 'building', 'a', 'border', 'fence', 'is', 'a', 'waste', 'of', 'tax', 'payer', ""'s"", 'money', '.', 'the', 'border', 'is', 'a', 'long', 'stretch', 'of', 'land', 'and', 'even', 'with', 'a', 'fence', 'people', 'will', 'still', 'find', 'ways', 'in', 'if', 'they', 'really', 'want', 'to', '.', 'the', 'main', 'problem', 'here', 'is', 'cost', 'and', 'not', 'just', 'in', 'the', 'initial', 'fence', 'but', 'in', 'the', 'man', 'power', 'required', 'to', 'watch', 'over', 'it', 'for', 'an', 'indefinite', 'period', 'of', 'time', '.', 'the', 'better', 'solution', 'would', 'be', 'to', 'truly', 'come', 'up', 'with', 'a', 'plan', 'for', 'immigration', 'and', 'how', 'to', 'treat', 'it', 'rather', 'than', 'just', 'masking', 'the', 'problem', 'with', 'a', 'fence', '.']",16,1,1,"""A fence should not be built, other solutions are available."""
