author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
21,"""marijuana legalization""","['it', ""'s"", 'healthier', 'for', 'you', 'than', 'cigarettes', 'and', 'does', 'little', 'harm', 'to', 'anyone', ',', 'i', 'do', ""n't"", 'see', 'why', 'it', 'shouldn', ',', 't', 'be', 'legal', '.', 'if', 'anything', ',', 'cigarettes', 'should', 'be', 'illegal', '.']",10,0,2,"""Yes, it should be legal"""
21,"""marijuana legalization""","['cigarettes', 'have', 'caused', 'the', 'death', 'of', 'millions', ',', 'through', 'lung', 'cancer', '.', 'cigarettes', 'also', 'kill', 'brain', 'cells', '.', 'heck', ',', 'holding', 'your', 'breath', 'makes', 'you', 'lose', 'brain', 'cells', '.', 'marijuanna', 'is', 'a', 'hell', 'of', 'a', 'lot', 'healthier', 'than', 'cigarettes', 'and', 'i', 'think', 'it', 'should', 'be', 'legalized', 'rather', 'than', 'cigs', '.']",10,0,2,"""Yes, it should be legal"""
646,"""marijuana legalization""","['explain', 'how', 'marijuana', 'is', 'worse', 'than', '(', 'the', '100', '%', 'legal', ')', 'alcohol', 'or', 'tobacco', 'and', 'i', ""'ll"", 'concede', 'the', 'point', '.']",10,0,2,"""Yes, it should be legal"""
646,"""marijuana legalization""","['``', 'marijuana', 'messes', 'with', 'your', 'head', 'and', 'causes', 'you', 'to', '(', 'scientifically', 'proven', ')', 'lose', 'brain', 'cells', ""''"", 'so', 'does', 'alcohol', '.', 'and', 'show', 'me', 'how', 'many', 'people', 'were', 'killed', 'by', 'stoned', 'drivers', '.']",10,0,2,"""Yes, it should be legal"""
1098,"""marijuana legalization""","['marijana', 'is', 'less', 'harmful', 'to', 'your', 'brain', 'and', 'body', 'than', 'alcohol', '.']",10,0,2,"""Yes, it should be legal"""
1323,"""marijuana legalization""","['i', 'disagree', 'with', 'king', '.', 'it', ""'s"", 'pertinent', 'to', 'the', 'discussion', 'to', 'address', 'cigarettes', 'and', 'alcohol', '.', 'if', 'we', ""'ve"", 'criminalized', 'marijuana', 'because', 'of', 'its', 'danger', ',', 'we', 'should', 'see', 'if', 'other', 'things', 'are', 'more', 'dangerous', 'that', 'are', 'legal', '.', 'if', 'they', 'are', ',', 'then', 'that', 'is', 'evidence', 'that', 'it', ""'s"", 'okay', 'to', 'legalize', 'marijuana', '.', 'i', ""'m"", 'nearly', 'a', 'straight', 'arrow', '.', 'i', ""'ve"", 'never', 'smoked', 'anything', ',', 'and', 'i', 'drink', 'once', 'every', 'few', 'years', ',', 'but', 'i', 'think', 'marijuana', 'should', 'be', 'legal', '.', 'by', 'legalizing', 'it', ',', 'the', 'black', 'market', 'that', 'involves', 'it', 'will', 'disappear', 'and', 'so', 'will', 'the', 'crime', 'and', 'gangs', 'that', 'go', 'along', 'with', 'those', 'black', 'markets', '.', '(', 'i', 'understand', 'that', 'this', 'is', ""n't"", 'a', 'cure', 'for', 'drug-related', 'crime', ',', 'but', 'it', 'will', 'alleviate', 'it', ')', '.', 'furthermore', ',', 'i', 'have', 'a', 'natural', 'desire', 'to', 'prevent', 'government', 'from', 'treating', 'us', 'like', 'we', ""'re"", 'too', 'irresponsible', 'to', 'live', 'our', 'own', 'lives', '.', 'as', 'long', 'as', 'what', 'we', 'do', 'does', 'not', 'adversely', 'affect', 'others', ',', 'i', 'think', 'it', 'should', 'be', 'legal', '.', 'more', 'illicit', 'drugs', 'i', ""'m"", 'not', 'sure', 'about', 'because', 'one', 'mistake', 'can', 'lead', 'to', 'a', 'physical', 'inability', 'to', 'discontinue', 'use', '.']",10,0,2,"""Yes, it should be legal"""
797,"""marijuana legalization""","['once', 'it', 'becomes', 'legal', 'you', 'will', 'not', 'be', 'hanging', 'around', 'criminals', '.', 'so', 'the', 'culture', 'will', 'be', 'very', 'different', 'if', 'you', 'have', 'professionals', 'using', 'it', 'responsibly', ',', 'they', 'wonâ€™t', 'have', 'to', 'go', 'to', 'the', 'seedy', 'guy', 'on', 'the', 'corner', 'and', 'pretend', 'to', 'be', 'his', 'friend', '.', 'that', 'will', 'trickle', 'down', 'to', 'teenagers', 'too', ',', 'the', 'less', 'shady', 'people', 'to', 'associate', 'with', 'the', 'better', '.']",10,0,2,"""Yes, it should be legal"""
167,"""marijuana legalization""","['this', 'argument', 'is', 'all', 'a', 'matter', 'of', 'what', 'information', 'you', 'choose', 'to', 'acknowledge', '.', 'for', 'every', 'published', 'piece', 'that', 'says', 'marijuana', 'does', 'less', 'harm', 'to', 'the', 'body', 'then', 'cigarettes', ',', 'there', 'is', 'a', 'counter-piece', 'that', 'says', 'it', 'does', 'more', '.', 'it', ""'s"", 'all', 'propaganda', '.', 'so', 'how', 'do', 'we', 'decide', 'what', 'the', 'real', 'deal', 'is', '?', 'compare', 'marijuana', 'to', 'alcohol', '.', 'it', ""'s"", 'as', 'simple', 'as', 'that', '.', 'alcohol', 'is', 'a', 'mind-altering', 'substance', '.', 'furthermore', ',', 'while', 'marijuana', 'may', 'make', 'people', ',', 'at', 'worst', 'paranoid', ',', 'the', 'general', 'effects', 'are', 'euphoria', ',', 'a', 'tendency', 'towards', 'laughter', ',', 'dry', 'mouth', ',', 'and', 'hunger', '.', 'alcohol', 'on', 'the', 'other', 'hand', 'causes', 'aggression', ',', 'disorientation', ',', 'nausea', ',', 'vomiting', ',', 'and', 'even', 'death', '.', 'and', 'alcohol', 'is', 'legal', '!', '!', '!', 'as', 'for', 'the', 'argument', 'that', 'marijuana', 'is', 'a', 'gateway', 'drug', ',', 'this', 'is', 'circumstantial', 'at', 'best', '.', 'as', 'some', 'people', 'have', 'a', 'genetic', ',', 'chemical', 'imbalance', 'that', 'makes', 'them', 'more', 'prone', 'to', 'alcohol', ',', 'some', 'people', 'have', 'a', 'genetic', 'potential', 'to', 'be', 'more', 'chemically', 'dependent', '.', 'only', 'because', 'marijuana', 'is', 'safer', ',', 'more', 'easily', 'available', ',', 'and', 'more', 'widely', 'accepted', 'is', 'it', 'the', 'drug', 'that', 'most', 'people', 'start', 'with', '.', 'in', 'conclusion', ',', 'make', 'it', 'legal', ',', 'put', 'the', 'same', 'laws', 'around', 'it', 'that', 'we', 'have', 'for', 'alcohol', ',', 'and', 'tax', 'the', 'sh*t', 'out', 'of', 'it', '.', 'it', 'will', 'only', 'add', 'to', 'the', 'economy', ',', 'as', 'opposed', 'to', 'the', 'millions', 'of', 'dollars', 'the', 'government', 'spends', 'trying', 'to', 'fight', 'the', 'war', 'on', 'drugs', ',', 'a', 'war', 'that', 'will', 'never', 'be', 'won', '.']",10,0,2,"""Yes, it should be legal"""
167,"""marijuana legalization""","['to', 'make', 'a', 'further', 'argument', ',', 'one', 'that', 'is', 'not', 'a', 'comparison', 'to', 'alcohol', ',', 'i', 'will', 'supply', 'this', 'information', '.', 'the', 'reason', 'marijuana', 'was', 'made', 'illegal', 'was', 'the', 'prevent', 'hemp', 'from', 'becoming', 'the', 'predominant', 'paper', 'product', 'in', 'the', 'world', '.', 'about', 'a', 'century', 'ago', ',', 'it', 'was', 'discovered', 'that', 'hemp', 'is', 'a', 'material', 'far', 'superior', 'to', 'wood', 'pulp', 'in', 'the', 'production', 'of', 'paper', '.', 'however', ',', 'in', 'order', 'to', 'make', 'the', 'conversion', 'from', 'wood', 'pulp', 'to', 'hemp', 'in', 'the', 'paper', 'mills', ',', 'owners', 'of', 'the', 'mills', 'would', 'be', 'forced', 'to', 'spend', 'large', 'sums', 'of', 'money', 'to', 'retool', 'their', 'machines', '.', 'as', 'it', 'so', 'happens', ',', 'one', 'of', 'the', 'largest', 'paper', 'companies', 'at', 'the', 'time', 'was', 'run', 'by', 'a', 'man', 'who', 'also', 'owned', 'several', 'newspapers', '.', 'in', 'order', 'to', 'avoid', 'having', 'to', 'spend', 'his', 'profits', 'from', 'the', 'paper', 'mills', 'to', 'make', 'the', 'conversion', ',', 'he', 'began', 'printing', 'false', 'news', 'articles', 'saying', 'that', 'black', 'people', '(', 'since', 'this', 'was', 'shortly', 'after', 'the', 'freeing', 'of', 'the', 'slaves', 'and', 'society', 'disdained', 'african', 'americans', ')', 'were', 'getting', 'high', 'on', 'marijuana', 'and', 'then', 'raping', 'and', 'beating', 'white', 'women', '.', 'the', 'articles', 'were', 'completely', 'false', ',', 'but', 'the', 'general', 'public', ',', 'upon', 'reading', 'these', 'stories', 'was', 'outraged', '.', 'marches', 'were', 'held', 'on', 'washington', ',', 'and', 'marijuana', 'was', 'quickly', 'made', 'illegal', '.', 'this', 'means', 'that', 'hemp', 'could', 'not', 'be', 'grown', 'locally', ',', 'so', 'importanting', 'it', 'would', 'make', 'it', 'more', 'expensive', 'then', 'local', 'wood', 'pulp', 'for', 'the', 'paper', 'mills', ',', 'so', 'they', 'were', 'able', 'to', 'maintain', 'their', 'present', 'system', 'and', 'we', 'have', 'been', 'killing', 'trees', 'ever', 'since', '.', 'what', 'does', 'all', 'this', 'mean', 'in', 'terms', 'of', 'legalization', '?', 'it', 'means', 'that', 'the', 'negative', 'image', 'of', 'marijuana', 'is', 'one', 'of', 'strictly', 'societal', 'views', '.', 'science', 'had', 'nothing', 'to', 'do', 'with', 'the', 'decision', 'to', 'make', 'marijuana', 'illegal', ',', 'and', 'had', 'society', 'not', 'been', 'presented', 'with', 'such', 'a', 'negative', 'illustration', 'of', 'the', 'drug', ',', 'things', 'would', 'be', 'very', 'very', 'different', 'today', '.', 'and', 'what', 'does', 'it', 'matter', 'if', 'its', 'legal', 'or', 'not', '?', 'like', 'i', 'said', 'before', ',', 'the', 'real', 'difference', 'between', 'the', 'drug', 'being', 'legal', 'or', 'illegal', 'is', 'that', ',', 'in', 'one', 'manner', ',', 'legalizing', 'it', 'will', 'bring', 'in', 'funds', 'for', 'the', 'government', ',', 'where', 'as', 'keeping', 'it', 'illegal', 'will', 'only', 'force', 'the', 'government', 'to', 'expend', 'funds', '.', 'its', 'simple', 'economics', '.']",10,0,2,"""Yes, it should be legal"""
528,"""marijuana legalization""","['okay', ',', 'iâ€™m', 'new', 'here', ',', 'but', 'i', 'canâ€™t', 'believe', 'this', 'debate', 'is', 'even', 'this', 'close', '.', 'itâ€™s', 'like', 'listening', 'to', 'a', 'tv', 'commercial', '.', 'even', 'the', 'tv', 'commercials', ',', 'by', 'the', 'way', 'have', 'abandoned', 'most', 'of', 'the', 'opposing', 'arguments', '.', 'no', 'they', 'just', 'say', 'that', 'marijuana', 'just', 'makes', 'you', 'lazy', ',', 'very', 'true', '.', 'letâ€™s', 'start', 'from', 'the', 'top', '.', 'a', 'â€œgateway', 'drugâ€�', 'is', 'any', 'drug', 'that', 'leads', 'to', 'other', 'drugsâ€¦marijuana', 'is', 'not', 'the', 'first', 'drug', 'for', 'everyone', '.', 'sex', 'causes', 'you', 'to', 'lose', 'brain', 'cells', ',', 'and', 'since', 'when', 'does', 'a', 'stranger', 'or', 'the', 'government', 'have', 'authority', 'over', 'my', 'brain', 'cells', '.', 'when', 'you', 'say', 'all', 'the', 'â€œdruggiesâ€�', ',', 'does', 'that', 'include', 'the', 'coffee', 'addicts', 'i', 'wade', 'through', 'every', 'morning', 'at', 'work', ',', 'or', 'the', 'cvs', 'regulars', '.', 'i', 'thought', 'i', 'heard', 'someone', 'say', 'that', 'marijuana', 'wasnâ€™t', 'less', 'harmful', 'than', 'cigarettes', ',', 'but', 'that', 'would', 'be', 'crazy', '.', 'the', 'only', 'reason', 'i', 'would', 'want', 'marijuana', 'to', 'remain', 'illegal', 'is', 'that', 'is', 'shows', 'people', 'and', 'the', 'government', 'for', 'the', 'hypocrites', 'they', 'are', '.', 'so', ',', 'â€œthe', 'kidsâ€�', ',', 'being', 'the', 'bright', 'little', 'rays', 'of', 'sunshine', 'they', 'are', 'realize', 'right', 'away', 'that', 'the', 'adults', 'are', 'full', 'of', 'sh*t', ',', 'and', 'therefore', 'ignore', 'them', '.', 'the', 'government', 'doesnâ€™t', 'care', 'about', 'your', 'health', 'or', 'mine', '.', 'my', 'right', 'to', 'choose', 'the', 'drug', 'of', 'my', 'choice', 'shouldnâ€™t', 'be', 'predicated', 'on', 'what', 'some', 'stranger', 'likes', 'and', 'doesnâ€™t', 'like', '.', 'i', 'donâ€™t', 'like', 'coffee', ',', 'cigarettes', ',', 'beer', ',', 'or', 'marijuanaâ€¦but', 'i', 'like', 'freedom', '.', 'leave', 'me', 'the', 'hell', 'alone', 'with', 'my', 'drugs', ',', 'like', 'they', 'do', 'you', 'all', 'out', 'there', 'with', 'your', 'purple', 'pills', ',', 'viagra', ',', 'and', 'whatever', 'else', 'you', 'hypocrites', 'out', 'there', 'snort', ',', 'pop', ',', 'or', 'inject', 'into', 'your', 'body', '.']",10,0,2,"""Yes, it should be legal"""
